Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Document Type,Publication Stage,Source
Zhao F.; Zhang L.; Zhao J.,57208513377; 55961743000; 57208515323,Research on the tools of clone code refactoring,2019,ACM International Conference Proceeding Series,,,,27,31,4,0,10.1145/3312662.3312693,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064980121&doi=10.1145%2f3312662.3312693&partnerID=40&md5=f9e4016f5208dcf240ebf2cd3ac4cbb7,"Clone code is the code fragment that is identical or similar in syntax or semantics, which has great impact on software development and maintenance. According to the large amount of clone code in software and its complex changes, researchers have proposed many methods to eliminate the harmful clone code, in which refactoring is an effective measure. In this paper, concepts of clone code and refactoring are introduced firstly. And then the main methods of current clone code refactoring are compared and analyzed, so the related tools of clone code refactoring can be elaborated and their advantages and disadvantages are summarized. At last, the shortcomings and limitations of the clone code refactoring are discussed. © 2019 Association for Computing Machinery.",Conference paper,Final,Scopus
Shen B.; Zhang W.; Zhao H.; Liang G.; Wang Q.,56609617800; 56760589600; 57219037610; 36661190100; 55515912300,Intellimerge: A refactoring-aware software merging technique,2019,Proceedings of the ACM on Programming Languages,3,OOPSLA,A170,,,,34,10.1145/3360596,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096861183&doi=10.1145%2f3360596&partnerID=40&md5=f40742c5c4fb9a164f6d1cf2b2f59d10,"In modern software development, developers rely on version control systems like Git to collaborate in the branch-based development workflow. One downside of this workflow is the conflicts occurred when merging contributions from different developers: These conflicts are tedious and error-prone to be correctly resolved, reducing the efficiency of collaboration and introducing potential bugs. The situation becomes even worse, with the popularity of refactorings in software development and evolution, because current merging tools (usually based on the text or tree structures of source code) are unaware of refactorings. In this paper, we present IntelliMerge, a graph-based refactoring-aware merging algorithm for Java programs. We explicitly enhance this algorithm's ability in detecting and resolving refactoring-related conflicts. Through the evaluation on 1,070 merge scenarios from 10 popular open-source Java projects, we show that IntelliMerge reduces the number of merge conflicts by 58.90% comparing with GitMerge (the prevalent unstructured merging tool) and 11.84% comparing with jFSTMerge (the state-of-the-art semi-structured merging tool) without sacrificing the auto-merging precision (88.48%) and recall (90.22%). Besides, the evaluation of performance shows that IntelliMerge takes 539 milliseconds to process one merge scenario on the median, which indicates its feasibility in real-world applications. © 2019 Copyright held by the owner/author(s).",Article,Final,Scopus
Gradišnik M.; Karakati? S.; Berani? T.; Heri?ko M.; Mauša G.; Grbac T.G.,55531148400; 55772495000; 57203508230; 6603385018; 55338667600; 57202354149,The impact of refactoring on maintability of Java code: A preliminary review,2019,CEUR Workshop Proceedings,2508,,2,,,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076458785&partnerID=40&md5=c9394985c9a562bbc1ccd438dfa6ccce,"The preservation of a proper level of software systems quality is one in the cornerstones of making software evolution easier and sustainable in the long run. A good design allows complex systems to evolve with little effort and in an economically efficient way. When design deviations are detected, refactoring techniques are applied to eliminate or at least reduce the identified flaws. A number of studies show that not all refactoring techniques contribute to improving the quality of different software systems equally. Therefore, effective approaches to measuring the impact of refactoring on software quality are required. In this study, we examine approaches to estimate the effect of applied refactoring techniques on the maintainability of Java based software systems. Since refactoring primarily affects the system's internal structure, maintainability was put in the focus of the study. We conducted a brief literature review, limiting our study on quantitative metrics. The results show that researchers use different approaches for evaluating the impact of refactoring on the observed Java based software systems. In some studies, researchers measured the effect of refactoring on the internal structure attributes measured by software metrics, e.g. C&K metric suite but the scope of our research was limited to the effects of refactoring on maintainability. In other studies, the effects of refactoring are estimated through external quality attributes, e.g. maintainability, readability, and understandability. Additionally, some researchers observed the impact of refactoring indirectly, e.g. through the defect proneness of classes of observed systems. Copyright © 2019 for this paper by its authors. Use permitted under Creative Commons License Attribution 4.0 International (CC BY 4.0).",Conference paper,Final,Scopus
Martsenyuk V.; Semenets A.,6603347161; 57205200093,On Code Refactoring for Decision Making Component Combined with the Open-Source Medical Information System,2019,Advances in Intelligent Systems and Computing,889,,,196,208,12,1,10.1007/978-3-030-03314-9_18,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058986652&doi=10.1007%2f978-3-030-03314-9_18&partnerID=40&md5=bb2d1aafa33227d89891c372103cc810,"The work is devoted to the facility of decision making for the open-source medical information systems. Our approach is based on the code refactoring of the dialog subsystem of platform of the clinical decision support system. The structure of the information model of database of the clinical decision support subsystem should be updated according to the medical information system requirements. The Model - View - Controller (MVC) based approach has to be implemented for dialog subsystem of the clinical decision support system. As an example we consider OpenMRS developer tools and corresponding software APIs. For this purpose we have developed a specialized module. When updating database structure, we have used Liquibase framework. For the implementation of MVC approach Spring and Hybernate frameworks were applied. The data exchanging formats and methods for the interaction of the OpenMRS dialog subsystem module and the Google App Engine (GAE) Decision Tree service are implemented with the help of AJAX technology through the jQuery library. Experimental research use the data of pregnant and it is aimed to the decision making about the gestational age of the birth. Prediction errors and attribute usage were analyzed. © 2019, Springer Nature Switzerland AG.",Conference paper,Final,Scopus
Singh N.K.; Aït-Ameur Y.; Méry D.,55364410000; 6602220813; 57198374387,Formal ontology driven model refactoring,2018,"Proceedings of the IEEE International Conference on Engineering of Complex Computer Systems, ICECCS",2018-December,,8595067,136,145,9,8,10.1109/ICECCS2018.2018.00022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061399904&doi=10.1109%2fICECCS2018.2018.00022&partnerID=40&md5=0634f65b45ac4d096f0031825748b1ad,"Refactoring, successfully used in the field of programming, can be used in maintenance and restructuring of the large and complex models. In this paper, we present a novel approach for model refactoring and a set of modelling patterns that are applicable for refinement-based formal development. In order to carry out this study, we investigate the previously developed large and complex model and required ontology to develop a domain model and a refactored system model. Further, we use the Rodin tools to check the internal consistency with respect to the desired functional behaviour and the required safety properties. Our main contributions are: to develop a refactoring technique related to the correct by construction approach; to use the domain specific knowledge in a system model explicitly; to define a set of modelling patterns; and to define a restructuring mechanism in the formal development. Finally, this proposed approach is evaluated through a complex medical case study: ECG clinical assessment protocol. © 2018 IEEE.",Conference paper,Final,Scopus
Misbhauddin M.; Alshayeb M.,36662537800; 6506030177,An integrated metamodel-based approach to software model refactoring,2019,Software and Systems Modeling,18,3,,2013,2050,37,7,10.1007/s10270-017-0628-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032370679&doi=10.1007%2fs10270-017-0628-3&partnerID=40&md5=09cac6599d2338486df1d4ffe99e0a9c,"Software refactoring is the process of changing a software system in a manner that does not alter its external behavior and yet improving its internal structure. Model-driven architecture and the popularity of the UML enabled the application of refactoring at model level, which was earlier applied to software code. In this paper, we propose a multi-view integrated approach to model-driven refactoring using UML models. We selected a single model from each UML view at metamodel level to construct an integrated metamodel. We selected class diagram to represent the structural view, sequence diagram to represent the behavioral view and use case diagram to represent the functional view. We validated the proposed approach by comparing integrated refactoring approach with refactoring applied to models individually in terms of quality improvement through UML model metrics. Our results indicate that more bad smell instances can be detected using the integrated approach rather than the individual refactoring approach. © 2017, Springer-Verlag GmbH Germany.",Article,Final,Scopus
Techapalokul P.; Tilevich E.,57189044783; 6507251807,QIS: Automated Refactoring for Scratch,2019,"Proceedings of IEEE Symposium on Visual Languages and Human-Centric Computing, VL/HCC",2019-October,,8818906,265,266,1,2,10.1109/VLHCC.2019.8818906,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078141550&doi=10.1109%2fVLHCC.2019.8818906&partnerID=40&md5=dd27358ffd43cfed7daa4ccdf40de8b6,"Recent studies have demonstrated that the code quality of Scratch projects impacts this learning environment's educational effectiveness. For example, novice programmers are less willing to remix and continue modifying those projects whose code quality is low. This showpiece demonstrates QIS (pronounced as/ch?z/), a novice-friendly refactoring tool for Scratch 3.0. Integrated with the latest Scratch environment, QIS analyzes on-the-fly the code quality of an edited project, displaying the refactorable quality problems as actionable improvement hints. Programmers can then decide to act by carrying out the suggested refactoring to improve the quality of the project's code. QIS not only empowers novice programmers to easily and effectively improve their code, but also educates them about the benefits and importance of code quality and its improvement practices. © 2019 IEEE.",Conference paper,Final,Scopus
An K.,57203415734,Facilitating the evolutionary modifications in distributed apps via automated refactoring,2019,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),11496 LNCS,,,548,553,5,4,10.1007/978-3-030-19274-7_43,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065488389&doi=10.1007%2f978-3-030-19274-7_43&partnerID=40&md5=f7a7b0a664a4448aa3fc9bb7adb3769f,"Actively used software applications must be changed continuously to ensure their utility, correctness, and performance. To perform these changes, programmers spend a considerable amount of time and effort pinpointing the exact locations in the code to modify, a particularly hard task for distributed applications. In distributed applications, server/middleware misconfigurations and network volatility often cause performance and correctness problems. My dissertation research puts forward a novel approach to facilitating the evolutionary modifications of distributed applications that introduces a novel automated refactoring—Client Insourcing. This refactoring transforms a distributed application into its semantically equivalent centralized variant, in which the remote parts are glued together and communicate with each other by means of regular function calls, eliminating any middleware, server, and network-related problems from the list of potential problem causes. Programmers then can use the resulting centralized variant to facilitate debugging, security enhancements, and fault-tolerance adaptations (Some of the preliminary work of this dissertation is described in a paper accepted for presentation in the main technical program of ICWE 2019 [4]). © Springer Nature Switzerland AG 2019.",Conference paper,Final,Scopus
Arcelli D.; Cortellessa V.; Di Pompeo D.,55317293800; 6603764364; 57188727238,Performance-Driven Software Architecture Refactoring,2018,"Proceedings - 2018 IEEE 15th International Conference on Software Architecture Companion, ICSA-C 2018",,,8432081,2,3,1,3,10.1109/ICSA-C.2018.00006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052553276&doi=10.1109%2fICSA-C.2018.00006&partnerID=40&md5=f629839e29a9852ee231c2cad0ad57d3,"Performance engineering of software architecture can be defined as the process of analyzing the performance of a software architecture and then reacting to problems emerging from such analysis by refactoring the software architecture in order to meet performance requirements. In the last decade, many approaches in this field have appeared, whereas the problem of reacting to problems by proposing and evaluating alternative solutions through architectural refactoring has been much less treated. Indeed, the introduction of automated support to refactoring becomes crucial to drive architectural evolutions that might lead to performance improvement. This tutorial is aimed at introducing notations, methodologies and tools that can be adopted for Performance-Driven Software Architecture Refactoring. © 2018 IEEE.",Conference paper,Final,Scopus
Pietsch C.; Kelter U.; Kehrer T.; Seidl C.,57172219300; 6603608144; 25960845900; 55389295800,Formal foundations for analyzing and refactoring delta-oriented model-based software product lines,2019,ACM International Conference Proceeding Series,A,,,,,,13,10.1145/3336294.3336299,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117538879&doi=10.1145%2f3336294.3336299&partnerID=40&md5=01b056440a84879ebf35cc93346905bf,"Model-Based Software Product Line (MBSPL) Engineering combines Model-Based Software Engineering (MBSE) and Software Product Line (SPL) Engineering by specifying variability in models and generating model variants as products of an MBSPL. Delta Modeling (DM) is a transformational approach for implementing MBSPLs by adding, removing or modifying model elements through delta modules to activate individual features. To date, the applicability of DM to real-world MBSPLs is severely hindered due to the resulting complex network of interrelated delta modules in which errors are hard to identify and fix without unintentionally harming overall consistency. To address this challenge, we present a set of analyses to identify problems in a network of delta modules as well as a construction kit to assemble refactorings to remedy these problems and simplify the network. We give a modeling-language independent formalization of delta modules based on graph transformation concepts. This is the basis for our analyses which, in turn, build the basis for our refactorings to prevent unintended side-effects. © 2019 Copyright held by the owner/author(s).",Conference paper,Final,Scopus
Mokaddem C.E.; Sahraoui H.; Syriani E.,57191428653; 57196894039; 25522760800,Recommending model refactoring rules from refactoring examples,2018,"Proceedings - 21st ACM/IEEE International Conference on Model Driven Engineering Languages and Systems, MODELS 2018",,,,257,266,9,11,10.1145/3239372.3239406,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056892342&doi=10.1145%2f3239372.3239406&partnerID=40&md5=d2aad474e0ee118e568c8d1cf9084966,"Models, like other first-class artifacts such as source code, are maintained and may be refactored to improve their quality and, consequently, one of the derived artifacts. Considering the size of the manipulated models, automatic support is necessary for refactoring tasks. When the refactoring rules are known, such a support is simply the implementation of these rules in editors. However, for less popular and proprietary modeling languages, refactoring rules are generally difficult to define. Nevertheless, their knowledge is often embedded in practical examples. In this paper, we propose an approach to recommend refactoring rules that we lean automatically from refactoring examples. The evaluation of our approach on three modeling languages shows that, in general, the learned rules are accurate. © 2018 Copyright held by the owner/author(s). Publication rights licensed to the Association for Computing Machinery.",Conference paper,Final,Scopus
Mumtaz H.; Alshayeb M.; Mahmood S.; Niazi M.,57200160465; 6506030177; 8644998900; 14045585000,A survey on UML model smells detection techniques for software refactoring,2019,Journal of Software: Evolution and Process,31,3,e2154,,,,20,10.1002/smr.2154,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063376990&doi=10.1002%2fsmr.2154&partnerID=40&md5=91ac340181675459d08c6bc86335dbfe,"Bad smells tend to have a negative impact on software by degrading its quality. It is beneficial to detect model smells to avoid their propagation to later stages of software development. The objective of this paper is to present the state-of-the-art research on techniques for detecting UML model bad smells. The detection techniques are compared and evaluated using a proposed evaluation framework. The framework consists of two parts. The first part of the framework compares the techniques in terms of the implemented approach, the investigated model, and the explored model smells, while the experimental design is explored in the second part of the framework. We found that the detection of bad smells in class and sequence diagrams is accomplished via design patterns, software metrics, and predefined rules, while model smells in use cases are detected using metrics and predefined rules. We also found that the class diagram is the most investigated UML model in the context of model smell detection, whereas there is a lack of work on other UML models. In addition, there is a scarcity of independent studies on sequence diagrams. Furthermore, the studies investigating class diagrams are mostly validated, whereas use case diagrams and sequence diagrams are rarely validated. © 2019 John Wiley & Sons, Ltd.",Review,Final,Scopus
Liu G.; Hu C.; Chen S.; Zhang Y.; Chen X.,52163967800; 57210376063; 57208589054; 55888825400; 57015781300,Refactoring Java Code for Automatic API Generation,2018,"International Conference on Cloud Computing, Big Data and Blockchain, ICCBB 2018",,,8756413,,,,0,10.1109/ICCBB.2018.8756413,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070517557&doi=10.1109%2fICCBB.2018.8756413&partnerID=40&md5=5a6c787afecb8e3a5e1731721fa4378a,"With the development of the Internet, a large number of computer applications have emerged, and the quantity is still growing rapidly. These applications contain a lot of useful data and functions, however, as most of them are not available and couldn't interact with each other, so the data and functions are difficult to shared and reused, resulting in a huge waste of resources. In order to solve this problem, secondary development is needed on the basis of the source system. For example, it is necessary to collect data from client applications or integrate their functions. Therefore, a framework of automatic encapsulation API based on the client system is proposed in this paper. Firstly, using a design pattern to reconstruct the runtime software architecture. Secondly, an algorithm is proposed for parameter matching to automatically construct API template. Thirdly, a framework is implemented to support design patterns and matching algorithms. In conclusion, we experimented with a real client system, and the results show that in most cases our method can effectively encapsulate and reduce the execution time of the functions. © 2018 IEEE.",Conference paper,Final,Scopus
Mohan M.; Greer D.,57189345360; 35228903500,Using a many-objective approach to investigate automated refactoring,2019,Information and Software Technology,112,,,83,101,18,15,10.1016/j.infsof.2019.04.009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064835658&doi=10.1016%2fj.infsof.2019.04.009&partnerID=40&md5=708a9904e9560028415d0c6eb446b77d,"Context: Software maintenance is expensive and so anything that can be done to reduce its cost is potentially of huge benefit. However, it is recognised that some maintenance, especially refactoring, can be automated. Given the number of possible refactorings and combinations of refactorings, a search-based approach may provide the means to optimise refactorings. Objective: This paper describes the investigation of a many-objective genetic algorithm used to automate software refactoring, implemented as a Java tool, MultiRefactor. Method: The approach and tool is evaluated using a set of open source Java programs. The tool contains four separate measures of software looking at the software quality as well as measures of code priority, refactoring coverage and element recentness. The many-objective algorithm combines the four objectives to improve the software in a holistic manner. An experiment has been constructed to compare the many-objective approach against a mono-objective approach that only uses a single objective to measure software quality. Different permutations of the objectives are also tested and compared to see how well the different objectives can work together in a multi-objective refactoring approach. The eight approaches are tested on six different open source Java programs. Results: The many-objective approach is found to give better objective scores on average than the mono-objective approach and in less time. However, the priority and element recentness objectives are both found to be less successful in multi/many-objective setups when they are used together. Conclusion: A many-objective approach is suitable and effective for optimising automated refactoring to improve quality. Including other objectives does not unduly degrade the quality improvements, but is less effective for those objectives than if they were used in a mono-objective approach. © 2019 Elsevier B.V.",Article,Final,Scopus
