Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Document Type,Publication Stage,Source
Inal Y.; Torkildsby A.B.,16238894800; 57191264360,Web Accessibility in Higher Education in Norway: To What Extent are University Websites Accessible?,2023,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),14142 LNCS,,,111,122,11,1,10.1007/978-3-031-42280-5_7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171421921&doi=10.1007%2f978-3-031-42280-5_7&partnerID=40&md5=45f7a4c6eb70f94543a139588e066afa,"University websites should be accessible and easy to navigate for all users, regardless of their ability or disability. However, many university websites still have inaccessible features, even in countries where web accessibility is a legal requirement for public organizations. This study aims to investigate the accessibility of Norwegian university websites using both manual and tool-based evaluation methods. The results reveal significant accessibility violations in 6 of 10 websites, despite the implementation of regulatory frameworks since 2013. The most common violations include an absence of alternative text and very low contrast. Other frequent violations are a lack of keyboard support, lengthy navigation, empty buttons, missing form labels, empty links, and empty headings. These issues are considered critical and need to be addressed urgently because incorrect design elements and navigation problems can cause confusion and loss of control for users, particularly those relying on screen readers. The study indicates that the above-mentioned violations result from insufficient awareness and understanding of the accessibility prerequisites of individuals with a wide variety of characteristics. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.",Conference paper,Final,Scopus
Gerlach E.B.; Plantz M.A.; Swiatek P.R.; Arpey N.C.; Cantrell C.K.; Divi S.N.; Hsu W.K.; Patel A.A.,57220464925; 57216372094; 57031627000; 57194594226; 57197799107; 57131176200; 7402002625; 7403524990,The content and accessibility of spine surgery fellowship websites and the North American Spine Surgery (NASS) fellowship directory,2021,Spine Journal,21,9,,1542,1548,6,2,10.1016/j.spinee.2021.04.011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107830372&doi=10.1016%2fj.spinee.2021.04.011&partnerID=40&md5=e90637fe7b1a51cf7f92500fb5f7b7aa,"BACKGROUND CONTEXT: The North American Spine Society (NASS) spine fellowship directory is an established resource that provides applicants with access to important information about different fellowship programs. Additionally, some programs have created websites to provide information about their fellowship program. There has been limited research on the amount and breadth of information provided by these different resources. PURPOSE: To assess and compare the scope of information provided by the North American Spine Society (NASS) fellowship directory and individual fellowship program websites. STUDY DESIGN/SETTING: Web Content Accessibility Study. PATIENT SAMPLE: There were no patient data used in this study. All reported data were accessed from public websites and the NASS fellowship directory (August 2022 fellowships). OUTCOME MEASURES: Outcome measures were reported as the presence or lack thereof of 22 topics pertaining to the specifics of each individual spine fellowship program on both the NASS fellowship directory and individual fellowship program websites. METHODS: The NASS fellowship directory (August 2022 fellowships) and individual program websites were evaluated by two independent reviewers. Program websites were identified via Google search with a systematic protocol. Within each platform, the availability of various data were recorded. Twenty-four different data points were assessed for each program and were categorized into four main categories—general program information, fellow profiles, clinical roles, and nonclinical roles of the fellow. Chi-squared tests were used to compare differences in the availability of specific data provided by the NASS fellowship directory and individual program websites. RESULTS: Seventy-four fellowship programs were identified. The NASS fellowship directory was more likely to provide information about the application process, a description of the program, fellow salary, faculty members, case descriptions, and research requirements (p<.05). The program websites were more likely to provide information about current and previous fellows—including a list of current fellow(s), their education/training, and a list of the previous fellows and their job choice (p<.05). Program websites were also more likely to discuss rotation schedules, clinic expectations, research opportunities, journal club, institutional meetings, sponsored national meetings, and current/previous research (p<.05). However, certain information, including specific clinical responsibilities (eg, rotation schedule, call expectations, clinic expectations) and the profiles of current and previous fellows, were not well represented on either platform. CONCLUSIONS: There were significant differences in the type of information provided by the NASS fellowship directory and program websites. Furthermore, there were key pieces of information that were not well represented on either platform. © 2021 Elsevier Inc.",Article,Final,Scopus
Meenakshi S.; Singla A.,57222986573; 56103491400,A novel heuristic method for quantitative assessment of web accessibility for colorblind,2023,Universal Access in the Information Society,,,,,,,1,10.1007/s10209-023-01006-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162207539&doi=10.1007%2fs10209-023-01006-w&partnerID=40&md5=5800f237187d99297ff778ba38a5e906,"The International Telecommunication Union has estimated that more than half of the world’s population use the Internet and access the hosted websites for various purposes like business, education, and social networking. These websites need to be accessible to people with visual impairments like color blindness. Thus, the design of such websites needs to follow certain web accessibility guidelines considering the accessibility for the colorblind. In this study, the authors have proposed a novel heuristic method to evaluate the compliance to the web accessibility guidelines provided by WCAG through a web accessibility score. This score is arrived at by evaluating the web design compliance to these mentioned guidelines based on a well-defined set of heuristics. As part of the experiment, websites from four categories were evaluated using the proposed method and the web accessibility score of the websites was arrived at with respect to color blindness disability. The results confirm the applicability of the proposed method to evaluate the websites for accessibility to colorblind people. The important research contributions are as follows: (a) a web accessibility score that helps to quantify the compliance to WCAG guidelines for color blindness by a web site; (b) a compilation of WCAG guidelines for web designers to design websites complying to accessibility for colorblind; (c) the proposed novel method would be further useful to check web accessibility compliance for users with other disabilities and give an indication of inclusivity for them; and (d) the novel heuristic method includes tool evaluation and manual observation ensuring maximum coverage for web accessibility guidelines. This quantification of web accessibility can support web accessibility experts for an opinion and help in providing a score for measuring web accessibility. © 2023, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.",Article,Article in press,Scopus
Ferdous J.; Lee H.-N.; Jayarathna S.; Ashok V.,57223136514; 57218554453; 36052654200; 55633359800,InSupport: Proxy Interface for Enabling Efficient Non-Visual Interaction withWeb Data Records,2022,"International Conference on Intelligent User Interfaces, Proceedings IUI",,,,49,62,13,4,10.1145/3490099.3511126,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127799087&doi=10.1145%2f3490099.3511126&partnerID=40&md5=f832f05d800d500220e432e9b1924b3f,"Interaction with web data records typically involves accessing auxiliary webpage segments such as filters, sort options, search form, and multi-page links. As these segments are usually scattered all across the screen, it is arduous and tedious for blind users who rely on screen readers to access the segments, given that content navigation with screen readers is predominantly one-dimensional, despite the available support for skipping content via either special keyboard shortcuts or selective navigation. The extant techniques to overcome inefficient web screen reader interaction have mostly focused on general web content navigation, and as such they provide little to no support for data record-specific interaction activities such as filtering and sorting - activities that are equally important for enabling quick and easy access to the desired data records. To fill this void, we present InSupport, a browser extension that: (i) employs custom-built machine learning models to automatically extract auxiliary segments on any webpage containing data records, and (ii) provides an instantly accessible proxy one-stop interface for easily navigating the extracted segments using basic screen reader shortcuts. An evaluation study with 14 blind participants showed significant improvement in usability with InSupport, driven by increased reduction in interaction time and the number of key presses, compared to state-of-the-art solutions.  © 2022 ACM.",Conference paper,Final,Scopus
Matos M.; Pereira L.S.; Duarte C.,58883059000; 56104146500; 55938888000,Evaluation of the Accessibility of Mobile Applications: Current Approaches and Challenges,2023,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),14055 LNCS,,,352,371,19,,10.1007/978-3-031-48041-6_24,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184841313&doi=10.1007%2f978-3-031-48041-6_24&partnerID=40&md5=83fcfb0da608791301130197d2279c8d,"The World Health Organization estimates that around 1.3 billion people worldwide are affected by some form of impairment. Ensuring accessibility of mobile applications has become imperative to meet the requirements of this group. Mobile accessibility involves the process of making mobile applications more inclusive for individuals with disabilities using mobile devices. This paper investigates the strong need for effective methodologies to evaluate the accessibility of mobile applications, particularly with the recent implementation of the Web Accessibility Directive in Europe. By reviewing existing research, analyzing monitoring reports from European Union Member States, and conducting interviews with mobile accessibility evaluators, this study identifies limitations in current evaluation methodologies and provides some insights into the challenges faced by evaluators. The findings reveal that there is no universally adopted methodology for evaluating the accessibility of mobile applications. Evaluators either adapt existing methodologies designed for web accessibility or develop their own approaches. The absence of specific guidelines for mobile accessibility poses a challenge, with evaluators often having to interpret web-focused documents. The lack of comprehensive automated tools for mobile accessibility evaluation further complicates the process. Through this research, it is anticipated that improvements in mobile application accessibility evaluations will contribute to creating more inclusive mobile experiences for all individuals. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2023.",Conference paper,Final,Scopus
Alarcon R.; Moreno L.; Martínez P.,57210098653; 7101696703; 7202906176,Lexical Simplification System to Improve Web Accessibility,2021,IEEE Access,9,,9400837,58755,58767,12,14,10.1109/ACCESS.2021.3072697,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104260720&doi=10.1109%2fACCESS.2021.3072697&partnerID=40&md5=dec59046e05919550779330c41bf1b2e,"People with intellectual, language and learning disabilities face accessibility barriers when reading texts with complex words. Following accessibility guidelines, complex words can be identified, and easy synonyms and definitions can be provided for them as reading aids. To offer support to these reading aids, a lexical simplification system for Spanish has been developed and is presented in this article. The system covers the complex word identification (CWI) task and offers replacement candidates with the substitute generation and selection (SG/SS) task. These tasks have followed machine learning techniques and contextual embeddings using Easy Reading and Plain Language resources, such as dictionaries and corpora. Additionally, due to the polysemy present in the language, the system provides definitions for complex words, which are disambiguated by a rule-based method supported by a state-of-the-art embedding resource. This system is integrated into a web system that provides an easy way to improve the readability and comprehension of Spanish texts. The results obtained are satisfactory; in the CWI task, better results were obtained than with other systems that used the same dataset. The SG/SS task results are comparable to similar works in the English language and provide a solid starting point to improve this task for the Spanish language. Finally, the results of the disambiguation process evaluation were good when evaluated by a linguistic expert. These findings represent an additional advancement in the lexical simplification of texts in Spanish and in a generic domain using easy-to-read resources, among others, to provide systematic support to compliance with accessibility guidelines. © 2013 IEEE.",Article,Final,Scopus
Alcaraz-Martínez R.; Ribera M.; Adeva Fillol A.; Pascual Almenara A.,57897903800; 23670757400; 57897190700; 35186398400,Validation of a heuristic set to evaluate the accessibility of statistical charts,2022,ACM International Conference Proceeding Series,,,2,,,,0,10.1145/3549865.3549893,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138429740&doi=10.1145%2f3549865.3549893&partnerID=40&md5=77ffd17c5c3c7653ef4164067e8e5e96,"A remote user test was performed with two versions (one accessible and another one non-accessible) of three types of web-based charts (horizontal bar chart, vertical stacked bar chart, and line chart). The objectives of the test were a) to validate a set of heuristic indicators for the evaluation of the accessibility of statistical charts presented in a previous work [7]; b) to identify new barriers and preferences for users with low vision in the access and use of this content not previously contemplated. 12 users were tested, with a variety of conditions associated with low vision: low visual acuity (6 users), reduced central vision (2 users), reduced peripheral vision (2 users), blurry vision (1 user), sensitivity to light (3 users), Nystagmus (2 users) and color vision deficiency (CVD) (4 users). From a quantitative standpoint, accessible versions of charts were more efficient, effective, and satisfactory. From a qualitative point of view, results verify the relevance of heuristics H2, Legend; H3, Axes; H6, Data source (as data table); H10, Safe colors; H11, Contrast; H12, Legibility; H13, Image quality; H14, Resize; H16, Focus visible; H17, Independent navigation; related to the proposed tasks. As new observations, tooltips were highly valued by all users, but their implementation must be improved to avoid covering up significant parts of the charts when displayed. The data table has also been frequently used by all users, especially in the non-accessible versions, allowing them to carry out tasks more efficiently. The position and size of the legend can be a significant barrier if it is too small or appears in an unusual position. Finally, despite the limitations related to color perception, users prefer color graphics to black and white, so, to target all profiles, it is necessary to redundantly encode categories with colors and patterns as well.  © 2022 ACM.",Conference paper,Final,Scopus
Rodrigues S.S.; Scuracchio P.E.; De Mattos Fortes R.P.,57197129703; 57205739217; 57217069952,A support to evaluate web accessibility and usability issues for older adults,2018,ACM International Conference Proceeding Series,,,,97,103,6,9,10.1145/3218585.3218597,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061373575&doi=10.1145%2f3218585.3218597&partnerID=40&md5=08e0e932568fba32036540e9e1787570,"The constant evolution of the Web has enabled that new online services in various segments be offered. Following this evolution, it is crucial that its content allows access to the different user's profiles. Older adults (age 60+) are users who typically have limited capacities due to ageing process and they have encountered difficulties in interacting with websites. Several accessibility and usability issues still have to be solved, despite the legislation and guidelines established for the development of accessible and usable web content. In particular, little attention has been devoted to the difficulties faced by older adults because most websites are not designed with these users in mind. This paper addresses the development of a checklist, a support to web accessibility and usability evaluations for the older adults profile and its validation. The checklist was elaborated from analysis of the state of the art, based on a literature review. During the checklist development we investigated the main barriers faced by older adults in web interaction. We conclude by highlighting the need for more studies on web interaction by older people and proposing new strategies for future research. © 2018 ACM.",Conference paper,Final,Scopus
Kumar A.; Tiwari P.K.,57004013300; 57971913900,Digital accessibility for persons with disabilities: A mixed method study of websites of 15-top ranked universities of India,2022,Academia (Greece),,29,,66,82,16,2,10.26220/aca.4092,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142209550&doi=10.26220%2faca.4092&partnerID=40&md5=62faece4de96eebaa3364c5b348624f7,"The present study was carried out using a mixed method sequential exploratory design to know the accessibility features for persons with disabilities available over the homepages of websites of top-15 ranked universities of India. The ranking used for this study was that of the National Institutional Ranking Framework (NIRF) released in 2020. Initially a manual observational analysis has been done for homepages of the websites of 15-top ranked universities of India for availability of fundamental accessibility features. In second phase an evaluation was made with automated web-accessibility tool ‘koa11y’. It was observed that most of the top-ranked universities in India lacked the fundamental accessibility features screen reader access, change in font size, font colour change, text spacing and even most of them do not have an accessibility statement over their websites. The analysis through ‘Koa11y’ resulted in a mean of 50 errors, 162 warnings and 432 notices respectively indicating very poor accessibility features for persons with disabilities available on websites of top-15 ranked universities of India. The website of National Institutional Ranking Framework (NIRF was found having no/very poor accessibility features. The Rights of Persons with Disabilities Act (RPWD Act) 2016 has a provision of enhancing digital accessibility and National Education Policy 2020 endorses all its provisions indicating a need to implement the Rights of Persons with Disabilities Act (RPWD Act) 2016 effectively to achieve equity and inclusion in higher education as envisioned in National Education Policy 2020. © 2022,Academia (Greece). All Rights Reserved.",Article,Final,Scopus
Pascual-Almenara A.; Granollers-Saltiveri T.,35186398400; 56700341900,Combining Two Inspection Methods: Usability Heuristic Evaluation and WCAG Guidelines to Assess e-Commerce Websites,2021,Communications in Computer and Information Science,1478 CCIS,,,1,16,15,0,10.1007/978-3-030-92325-9_1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121854652&doi=10.1007%2f978-3-030-92325-9_1&partnerID=40&md5=76acaa3b46eab79dd86f0a9e2f82e874,"The usability and accessibility of 8 e-commerce websites (from five different sectors such as food, sports, fashion, electronics and DIY) were analysed by thirty-two evaluators. The assessment was done using the heuristic evaluation technique for usability and the Web Content Accessibility Guidelines (WCAG) 2.1 for accessibility. The results show higher levels in usability (an overall average of 73.80%) than in accessibility (an overall average of 64.00%). In terms of quality, we noticed a similarity between the accessibility problems of the e-commerce websites belonging to the study and the most problematic criteria according to others accessibility studies. Additionally, as we are interested in linking both attributes (usability and accessibility), a new index was proposed and, as a proof of concept, calculated using the data obtained in the study. We called the new index as “UsabAccessibility” and, summarizes the levels of usability and accessibility of any evaluated website in a single value. Finally, although we have created an index that unifies usability and accessibility, this is only a first approximation, we are aware that it is still necessary to mature both the concept and the way of calculating it. © 2021, Springer Nature Switzerland AG.",Conference paper,Final,Scopus
