id,issn,idl,Abstract,Title,Autherkeywords,Indexkeywords,Author,AuthorsID,Volume,Issue,Year,Pagestart,Pageend,Pagecount,Source,ENTRYTYPE,doi,url,citation_count,Affiliations,Authors_affiliations,Address,Publisher,Language,AbbreviatedSource,Document_Type,Publication_Stage,Access_Type,EID,author_publ_age,author_age,doc_id,author_order
13,,,,Technology acceptance and m-commerce in an operational environment,,,Snowden S.; Spafford J.; Michaelides R.; Hopkins J.,14831848000; 14831952800; 14035781300; 57198215250,,,2006,,,,Journal of Enterprise Information Management,,10.1108/17410390610703657,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33749546524&doi=10.1108%2f17410390610703657&partnerID=40&md5=7b69fd94b40465349194883bd7d3cd23,49,539,,,,,,Article,Scopus,49,,,,,
14,,,,Course website usage: Does prior experience matter?,,,Ramayah T.,57222416490,,,2006,,,,WSEAS Transactions on Information Science and Applications,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-30144434991&partnerID=40&md5=aeda9b46da1d74ca508ec987b2562179,9,306,,,,,,Article,Scopus,9,,,,,
15,,,,"12th Americas Conference on Information Systems, AMCIS 2006, Volume 5",,,,,,,2006,,,,"Association for Information Systems - 12th Americas Conference On Information Systems, AMCIS 2006",,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870310469&partnerID=40&md5=71da1ce6d1d0d03ea7e60bc48bb4510a,0,,,,,,,Conference review,Scopus,0,,,,,
16,,,,Physicians' acceptance of mobile communication technology: An exploratory study,,,Han S.; Mustonen P.; Seppänen M.; Kallio M.,8593864400; 57522425500; 12244456600; 57200009077,,,2006,,,,International Journal of Mobile Communications,,10.1504/IJMC.2006.008610,https://www.scopus.com/inward/record.uri?eid=2-s2.0-32644441376&doi=10.1504%2fIJMC.2006.008610&partnerID=40&md5=ffcb1f2050ca11c531c104d2a477d10d,46,229,,,,,,Article,Scopus,46,,,,,
17,,,,System deep usage in post-acceptance stage: A literature review and a new research framework,,,Wang W.; Butler J.E.,14068259800; 7403925500,,,2006,,,,International Journal of Business Information Systems,,10.1504/IJBIS.2006.008959,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644996915&doi=10.1504%2fIJBIS.2006.008959&partnerID=40&md5=6d46525d5af767422e44b926e450829d,17,462,,,,,,Review,Scopus,17,,,,,
18,,,,The technology structure and appropriation of Server-Based Computing: A case study of a Taiwanese high tech firm,,,Chou T.-C.; Chen J.-R.; Tsai Y.-C.,56405960700; 13805536400; 53881971300,,,2006,,,,PACIS 2006 - 10th Pacific Asia Conference on Information Systems: ICT and Innovation Economy,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053527550&partnerID=40&md5=e6282462f241a3b2739670d7bacfdc31,0,957,,,,,,Conference paper,Scopus,0,,,,,
19,,,,Explaining disparities in treatment seeking: The case of infertility,,,White L.; McQuillan J.; Greil A.L.,7402225691; 7004334616; 6602468448,,,2006,,,,Fertility and Sterility,,10.1016/j.fertnstert.2005.11.039,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645416314&doi=10.1016%2fj.fertnstert.2005.11.039&partnerID=40&md5=589374a649b3fe09858f40efbe7a8bcd,73,857,,,,,,Article,Scopus,73,,,,,
20,,,,Reconceptualizing compatibility beliefs in technology acceptance research,,,Karahanna E.; Agarwal R.; Angst C.M.,6603276648; 7402481134; 15757168000,,,2006,,,,MIS Quarterly: Management Information Systems,,10.2307/25148754,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846005128&doi=10.2307%2f25148754&partnerID=40&md5=4b04bcd11f3c3e9693f983af72ca611a,457,804,,,,,,Article,Scopus,457,,,,,
21,,,,Beyond technology acceptance: Understanding consumer practice,,,Baron S.; Patterson A.; Harris K.,15031155700; 36154991100; 57210541780,,,2006,,,,International Journal of Service Industry Management,,10.1108/09564230610656962,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645652720&doi=10.1108%2f09564230610656962&partnerID=40&md5=3498ff6ce4748af33c868599d5541e9f,100,135,,,,,,Article,Scopus,100,,,,,
22,,,,Consumer acceptance of the internet as a channel of distribution in Taiwan-a channel function perspective,,,Cheng J.M.-S.; Sheen G.-J.; Lou G.-C.,8862378600; 8631760200; 13008162900,,,2006,,,,Technovation,,10.1016/j.technovation.2005.01.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646034065&doi=10.1016%2fj.technovation.2005.01.001&partnerID=40&md5=3462b7f2f41abbd72dc58bf68b7c27cf,60,864,,,,,,Article,Scopus,60,,,,,
23,,,,Acceptance and Continuance Intention of Web-based Learning Technologies (WLT) Use among University Students in a Baltic Country,,,Ifinedo P.,14071621100,,,2006,,,,Electronic Journal of Information Systems in Developing Countries,,10.1002/j.1681-4835.2006.tb00151.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-71549144791&doi=10.1002%2fj.1681-4835.2006.tb00151.x&partnerID=40&md5=cd07ade570fde6e87e7a3a678eb1deaa,74,20,,,,,,Article,Scopus,74,,,,,
24,,,,An empirical investigation into factors influencing the adoption of an e-learning system,,,Lee Y.-C.,14043707400,,,2006,,,,Online Information Review,,10.1108/14684520610706406,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750012685&doi=10.1108%2f14684520610706406&partnerID=40&md5=813fe2f9aec9938ceabb056570647c5d,253,541,,,,,,Article,Scopus,253,,,,,
25,,,,Web accessibility for visually impaired users: Extending the technology acceptance model (TAM),,,Djamasbi S.; Tullis T.; Girouard M.; Hebner M.; Krol J.; Terranova M.,18433762500; 55690590900; 55506943200; 55507071300; 55507592300; 55507918400,,,2006,,,,"Association for Information Systems - 12th Americas Conference On Information Systems, AMCIS 2006",,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870354038&partnerID=40&md5=a57c0806d8f661d0d9c7c87956a52cdc,8,3022,,,,,,Conference paper,Scopus,8,,,,,
26,,,,"11th Americas Conference on Information Systems, AMCIS 2005, Volume 5",,,,,,,2005,,,,"Association for Information Systems - 11th Americas Conference on Information Systems, AMCIS 2005: A Conference on a Human Scale",,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869988711&partnerID=40&md5=67c1416030cfd9480bf4cc6eca023ccc,0,,,,,,,Conference review,Scopus,0,,,,,
27,,,,Exploring the influence of gender on the web usage via partial least squares,,,Sánchez-Franco M.J.,8409457400,,,2006,,,,Behaviour and Information Technology,,10.1080/01449290500124536,https://www.scopus.com/inward/record.uri?eid=2-s2.0-30344484888&doi=10.1080%2f01449290500124536&partnerID=40&md5=b31cdfc55c39029239d1639146606df3,175,36,,,,,,Review,Scopus,175,,,,,
28,,,,An empirical investigation of user acceptance of wireless technology at work,,,Cheng F.-F.; Wu J.C.S.; Huang Y.-W.; Yen D.C.,36907876500; 52365428900; 35724192500; 7102471530,,,2006,,,,"Association for Information Systems - 12th Americas Conference On Information Systems, AMCIS 2006",,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870373469&partnerID=40&md5=c5654c63bb4e14c7603bf62ea08905b1,0,3056,,,,,,Conference paper,Scopus,0,,,,,
29,,,,The role of privacy risk in it acceptance: An empirical study,,,Cazier J.A.; Wilson V.; Medlin B.D.,6603235968; 55666869400; 7006111010,,,2006,,,,"Association for Information Systems - 12th Americas Conference On Information Systems, AMCIS 2006",,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870050615&partnerID=40&md5=eab6a93d4a1ae941703da7398353efb0,1,889,,,,,,Conference paper,Scopus,1,,,,,
30,,,,"12th Americas Conference on Information Systems, AMCIS 2006, Volume 7",,,,,,,2006,,,,"Association for Information Systems - 12th Americas Conference On Information Systems, AMCIS 2006",,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870349997&partnerID=40&md5=62b56e064fe32cd226b22fbc25312ebb,0,,,,,,,Conference review,Scopus,0,,,,,
31,,,,Multi-core clusters usage model,,,Shainer G.,24436070400,,,2006,,,,"Proceedings of the 2006 ACM/IEEE Conference on Supercomputing, SC'06",,10.1145/1188455.1188489,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548216712&doi=10.1145%2f1188455.1188489&partnerID=40&md5=9d84469873a4c00422b3a990ed48be05,0,,,,,,,Conference paper,Scopus,0,,,,,
32,,,,The role of the technology acceptance model in explaining effects of image interactivity technology on consumer responses,,,Lee H.-H.; Fiore A.M.; Kim J.,8976744700; 7102448012; 8326893000,,,2006,,,,International Journal of Retail and Distribution Management,,10.1108/09590550610675949,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745633838&doi=10.1108%2f09590550610675949&partnerID=40&md5=6738a9a0709ae0f3e83fb944fe1795a2,171,644,,,,,,Article,Scopus,171,,,,,
33,,,,Evaluating the technological characteristics and trust affecting mobile device usage,,,Mahatanankoon P.; Wen H.J.; Lim B.B.L.,57204990534; 7202983787; 7201983593,,,2006,,,,International Journal of Mobile Communications,,10.1504/IJMC.2006.010361,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746922019&doi=10.1504%2fIJMC.2006.010361&partnerID=40&md5=dd6cfc8c5f8c23f28946fcb360a9842b,31,681,,,,,,Article,Scopus,31,,,,,
34,,,,An empirical investigation on learners' acceptance of e-learning for public unemployment vocational training,,,Huang S.-M.; Wei C.-W.; Yu P.-T.; Kuo T.-Y.,57915338900; 16231588300; 7403598575; 12042257500,,,2006,,,,International Journal of Innovation and Learning,,10.1504/IJIL.2006.008419,https://www.scopus.com/inward/record.uri?eid=2-s2.0-31544438835&doi=10.1504%2fIJIL.2006.008419&partnerID=40&md5=b095692192aad454f0c00c9134ef574a,15,185,,,,,,Article,Scopus,15,,,,,
35,,,,The Pendulum Swings Back - Individual Acceptance of Re-centralized Application Platforms,,,Fang Y.; Neufeld D.J.,8716021900; 7005175168,,,2006,,,,Data Base for Advances in Information Systems,,10.1145/1161345.1161352,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70249150657&doi=10.1145%2f1161345.1161352&partnerID=40&md5=454141aee0354aa68ba78c05fd358d32,8,41,,,,,,Article,Scopus,8,,,,,
36,,,,Modeling and experimental analysis of polydispersed particles coating in spouted bed,,,Paulo Filho M.; Rocha S.C.S.; Lisboa A.C.L.,14052733900; 7006653251; 6601940524,,,2006,,,,Chemical Engineering and Processing: Process Intensification,,10.1016/j.cep.2006.02.008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746565997&doi=10.1016%2fj.cep.2006.02.008&partnerID=40&md5=a7c1b636c4e860cc5d256f8b2f2639f6,22,972,,,,,,Article,Scopus,22,,,,,
37,,,,A model for evaluating b2c e-commerce websites: Application in the cd e-retailing industry in Brazil,,,Oliveira L.C.B.; Joia L.A.,55504923500; 6602356691,,,2005,,,,"Proceedings of the 13th European Conference on Information Systems, Information Systems in a Rapidly Changing Economy, ECIS 2005",,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870978877&partnerID=40&md5=b5a4927c6d696ac1e6f34f8b385f9f2c,4,,,,,,,Conference paper,Scopus,4,,,,,
38,,,,"User acceptance of mobile services - Value, ease of use, trust and ease of adoption",,,Kaasinen E.,23397362100,,,2005,,,,VTT Publications,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885066852&partnerID=40&md5=d5ee9d813209f53ad83a84a86317ad88,23,151,,,,,,Review,Scopus,23,,,,,
39,,,,Adding contextual specificity to the technology acceptance model,,,McFarland D.J.; Hamilton D.,10939434200; 10939179800,,,2006,,,,Computers in Human Behavior,,10.1016/j.chb.2004.09.009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-30144442331&doi=10.1016%2fj.chb.2004.09.009&partnerID=40&md5=7be1d2e97199e846911d9344e1b85e46,160,447,,,,,,Article,Scopus,160,,,,,
40,,,,User acceptance and diffusion of innovations summarized,,,Spil T.A.M.,6603223376,,,2005,,,,"E-Health Systems Diffusion and Use: The Innovation, the User and the USE IT Model",,10.4018/978-1-59140-423-1.ch001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901541827&doi=10.4018%2f978-1-59140-423-1.ch001&partnerID=40&md5=c5abda62b4a466936b986ed588fcff83,1,12,,,,,,Book chapter,Scopus,1,,,,,
41,,,,Motivations for online news usage: An Australian survey,,,D'Ambra J.; Land L.P.W.; Lo M.,6602421678; 7007127312; 53881743600,,,2006,,,,PACIS 2006 - 10th Pacific Asia Conference on Information Systems: ICT and Innovation Economy,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053466048&partnerID=40&md5=19ab4948fadcc579585be93b610e7775,0,985,,,,,,Conference paper,Scopus,0,,,,,
42,,,,"Ready, set, go: Examining student readiness to use ERP technology",,,Shivers-Blackwell S.L.; Charles A.C.,8534828300; 14219069600,,,2006,,,,Journal of Management Development,,10.1108/02621710610684268,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33747818610&doi=10.1108%2f02621710610684268&partnerID=40&md5=50d39320ed904dffa05974b0e13d7977,52,805,,,,,,Article,Scopus,52,,,,,
43,,,,The mediation of external variables in the technology acceptance model,,,Burton-Jones A.; Hubona G.S.,12790886900; 57204049742,,,2006,,,,Information and Management,,10.1016/j.im.2006.03.007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33747815067&doi=10.1016%2fj.im.2006.03.007&partnerID=40&md5=f51202f187f232ca330f45a96140dc61,272,717,,,,,,Article,Scopus,272,,,,,
44,,,,Technological innovations diffusion in China,,,Karuranga E.; Su Z.; Beauregard R.,36348581800; 7402248651; 7003888792,,,2006,,,,"Academy of Management 2006 Annual Meeting: Knowledge, Action and the Public Concern, AOM 2006",,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858625875&partnerID=40&md5=6273c3d870c31679fc2d6e0589b89807,0,,,,,,,Conference paper,Scopus,0,,,,,
45,,,,A new ARC parameter database for characterisation of short-line fault interruption capability of high-voltage circuit breakers,,,Smeets R.P.P.; Kertész V.,9844951700; 36897022100,,,2006,,,,"41st International Conference on Large High Voltage Electric Systems 2006, CIGRE 2006",,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876753201&partnerID=40&md5=775bf21219e2d1552304214bed7f071d,28,,,,,,,Conference paper,Scopus,28,,,,,
46,,,,A longitudinal investigation of continued online shopping behavior: An extension of the theory of planned behavior,,,Hsu M.-H.; Yen C.-H.; Chiu C.-M.; Chang C.-M.,7202371155; 7202149092; 7402303944; 14031274700,,,2006,,,,International Journal of Human Computer Studies,,10.1016/j.ijhcs.2006.04.004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745684805&doi=10.1016%2fj.ijhcs.2006.04.004&partnerID=40&md5=9c63abcdefc0a81bdba510647c05022a,329,904,,,,,,Article,Scopus,329,,,,,
47,,,,Theory development in health care informatics: Information and communication technology acceptance model (ICTAM) improves the explanatory and predictive power of technology acceptance models,,,An J.-Y.,8626455800,,,2006,,,,Studies in Health Technology and Informatics,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-39049191130&partnerID=40&md5=660d46f738142e34585767358c50dfb5,7,67,,,,,,Conference paper,Scopus,7,,,,,
48,,,,Understanding continued information technology usage behavior: A comparison of three models in the context of mobile internet,,,Hong S.; Thong J.Y.L.; Tam K.Y.,7405763499; 7006658274; 55667247700,,,2006,,,,Decision Support Systems,,10.1016/j.dss.2006.03.009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750479041&doi=10.1016%2fj.dss.2006.03.009&partnerID=40&md5=e1ab036dec1f297f8ae44d03855544b0,677,1834,,,,,,Article,Scopus,677,,,,,
49,,,,"The relationships among trust, e-satisfaction, e-loyalty, and customer online behaviors",,,Tang T.-W.; Tsai C.-H.; Wu W.-P.,56299385300; 56409026700; 56162545000,,,2005,,,,Proceedings of the International Conference on Electronic Business (ICEB),,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873548545&partnerID=40&md5=7496c2be0f776b46281584d7d49d23af,7,794,,,,,,Conference paper,Scopus,7,,,,,
50,,,,Meta-modeling service-oriented architecture based on UML,,,Zhang T.; Ying S.; Cao S.; Zhong X.,55547107564; 35241298900; 36107630200; 35188423800,,,2006,,,,"Proceedings of the Second IASTED International Conference on Web Technologies, Applications, and Services, WTAS 2006",,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-38049132047&partnerID=40&md5=5d190d302427454620d425fdd1c819cc,3,142,,,,,,Conference paper,Scopus,3,,,,,
51,,,,Determining the intention to use biometric devices: An application and extension of the technology acceptance model,,,James T.; Pirim T.; Boswell K.; Reithel B.; Barkhi R.,8533468700; 6507610882; 24773240300; 6602149867; 6603581477,,,2006,,,,Journal of Organizational and End User Computing,,10.4018/joeuc.2006070101,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33749373316&doi=10.4018%2fjoeuc.2006070101&partnerID=40&md5=94c51b530bb7fcf6335044cb169d5552,65,23,,,,,,Article,Scopus,65,,,,,
52,,,,Leadership styles in technology acceptance: Do followers practice what leaders preach?,,,Schepers J.; Wetzels M.; de Ruyter K.,9734896700; 6604091693; 7004664517,,,2005,,,,Managing Service Quality,,10.1108/09604520510633998,https://www.scopus.com/inward/record.uri?eid=2-s2.0-28444457754&doi=10.1108%2f09604520510633998&partnerID=40&md5=1a5d07d907bcf58b73d5b2ca816834d7,127,508,,,,,,Article,Scopus,127,,,,,
53,,,,Interpretation of gloss meter measurements,,,Arney J.S.; Ling Y.; Banach S.,7006923820; 53870435000; 53869969300,,,2006,,,,Journal of Imaging Science and Technology,,10.2352/J.ImagingSci.Technol.(2006)50:6(567),https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846805771&doi=10.2352%2fJ.ImagingSci.Technol.%282006%2950%3a6%28567%29&partnerID=40&md5=4e3be34ab357d2ea2f607b775419dd62,16,571,,,,,,Conference paper,Scopus,16,,,,,
54,,,,"Using information technology: Engagement modes, flow experience, and personality orientations",,,Sharafi P.; Hedman L.; Montgomery H.,23973581300; 7007166091; 7101923986,,,2006,,,,Computers in Human Behavior,,10.1016/j.chb.2004.03.022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644597414&doi=10.1016%2fj.chb.2004.03.022&partnerID=40&md5=856d9a031cc9faa16d4c9b901cb6f030,49,916,,,,,,Article,Scopus,49,,,,,
55,,,,Perception of wireless technology provision in health service using the analytic hierarchy process,,,Oddershede A.; Carrasco R.; Ontiveros B.,19640370400; 35563381200; 14063576900,,,2006,,,,WSEAS Transactions on Communications,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33747046383&partnerID=40&md5=0276906c2f16c7e0d3dc85c5f6612273,5,1757,,,,,,Article,Scopus,5,,,,,
56,,,,Perceived health risk effects on the adoption of 3G cell phones,,,Cocosila M.; Turel O.; Archer N.; Yuan Y.,8605363100; 12760214400; 7006158219; 7402708857,,,2006,,,,"Association for Information Systems - 12th Americas Conference On Information Systems, AMCIS 2006",,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870328880&partnerID=40&md5=7e00ac573f5693910ac42591a601da13,0,2840,,,,,,Conference paper,Scopus,0,,,,,
57,,,,"A review of the predictors, linkages, and biases in IT innovation adoption research",,,Jeyaraj A.; Rottman J.W.; Lacity M.C.,16426012500; 12142111400; 6701506017,,,2006,,,,Journal of Information Technology,,10.1057/palgrave.jit.2000056,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33344465188&doi=10.1057%2fpalgrave.jit.2000056&partnerID=40&md5=89c4ffa1db37e60485738bd33348196d,797,23,,,,,,Review,Scopus,797,,,,,
58,,,,Rationalizing the use of emotion as a predictor of technology imprints,,,Besheer H.; Beruvides M.G.,55785962600; 6701413708,,,2006,,,,"27th Annual National Conference of the American Society for Engineering Management 2006 - Managing Change: Managing People and Technology in a Rapidly Changing World, ASEM 2006",,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879832646&partnerID=40&md5=59951edc2b114a301cb66d7287f83de7,0,552,,,,,,Conference paper,Scopus,0,,,,,
59,,,,Developing a model of technology acceptance within the Australian healthcare sector,,,Schaper L.K.; Pervan G.P.,54794428300; 6602790934,,,2006,,,,PACIS 2006 - 10th Pacific Asia Conference on Information Systems: ICT and Innovation Economy,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053486143&partnerID=40&md5=30fe15909aeb657aa8ec22428266f02d,3,847,,,,,,Conference paper,Scopus,3,,,,,
60,,,,Factor's influencing individual's knowledge seeking behaviour in electronic knowledge repository,,,Sharma S.; Bock G.-W.,58263516000; 15836395400,,,2005,,,,"Proceedings of the 13th European Conference on Information Systems, Information Systems in a Rapidly Changing Economy, ECIS 2005",,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871023936&partnerID=40&md5=23381af157f1de4683608be4de120fec,17,,,,,,,Conference paper,Scopus,17,,,,,
61,,,,Adoption of mobile devices/services - Searching for answers with the UTAUT,,,Carlsson C.; Carlsson J.; Hyvönen K.; Puhakainen J.; Walden P.,56966828000; 14832227400; 16636905800; 14833281300; 7103220579,,,2006,,,,Proceedings of the Annual Hawaii International Conference on System Sciences,,10.1109/HICSS.2006.38,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33749624557&doi=10.1109%2fHICSS.2006.38&partnerID=40&md5=4d311b8cc85ef4c6b35c7cb6d90484f6,268,,,,,,,Conference paper,Scopus,268,,,,,
62,,,,Web and wireless site usability: Understanding differences and modeling use,,,Venkatesh V.; Ramesh V.,35614985000; 57197367164,,,2006,,,,MIS Quarterly: Management Information Systems,,10.2307/25148723,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845791935&doi=10.2307%2f25148723&partnerID=40&md5=d04839f5f94902784fa4b1b9a7dab767,182,206,,,,,,Article,Scopus,182,,,,,
63,,,,"An extension of the UTAUT model with e-quality, trust, and satisfaction constructs",,,Cody-Allen E.; Kishore R.,14035164700; 7101918197,,,2006,,,,SIGMIS CPR'06 - Proceedings of the 2006 ACM SIGMIS CPR Conference,,10.1145/1125170.1125196,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745824630&doi=10.1145%2f1125170.1125196&partnerID=40&md5=25935e7b1827d881595d0e8a3cbf6103,55,89,,,,,,Conference paper,Scopus,55,,,,,
64,,,,Enterprise portals: Adressing the organisational and individual perspectives of information systems,,,Daniel E.; Ward J.,7202217330; 55449078000,,,2005,,,,"Proceedings of the 13th European Conference on Information Systems, Information Systems in a Rapidly Changing Economy, ECIS 2005",,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871017536&partnerID=40&md5=2f81203dff0c66f61c84df2b45bb810f,25,,,,,,,Conference paper,Scopus,25,,,,,
