id,issn,idl,Abstract,Title,Autherkeywords,Indexkeywords,Author,AuthorsID,Volume,Issue,Year,Pagestart,Pageend,Pagecount,Source,ENTRYTYPE,doi,url,citation_count,Affiliations,Authors_affiliations,Address,Publisher,Language,AbbreviatedSource,Document_Type,Publication_Stage,Access_Type,EID,author_publ_age,author_age,doc_id,author_order
16,,,,The MUSES?: a prognostic study on 1360 patients with sinonasal cancer undergoing endoscopic surgery-based treatment: ?MUlti-institutional collaborative Study on Endoscopically treated Sinonasal cancers,,,Ferrari M.; Mattavelli D.; Tomasoni M.; Raffetti E.; Bossi P.; Schreiber A.; Orlandi E.; Taboni S.; Rampinelli V.; Gualtieri T.; Turri-Zanoni M.; Battaglia P.; Arosio A.D.; Bignami M.; Tartaro T.; Molteni M.; Bertazzoni G.; Fiaux-Camous D.; Jourdaine C.; Verillaud B.; Eu D.; Nair D.; Moiyadi A.; Shetty P.; Ghosh-Laskar S.; Budrukkar A.; Magrini S.M.; Guillerm S.; Faivre S.; Piazza C.; Gilbert R.W.; Irish J.C.; de Almeida J.R.; Pai P.; Herman P.; Castelnuovo P.; Nicolai P.,57226266136; 55382540800; 57203915904; 56146363000; 23092932500; 36469296100; 58017679500; 57195956956; 57188742101; 57189218469; 53985286700; 12244664600; 57201381663; 12244525200; 57194861037; 7003975453; 55523551600; 57201073719; 57195566461; 36553534800; 55418790700; 25621884700; 55993470000; 35226670900; 55399012400; 7801312290; 24076371000; 16312732800; 34569482800; 55589573800; 7401932131; 7101847422; 14047994500; 7101901732; 7201563487; 55637348200; 7005378462,,,2022,,,,European Journal of Cancer,,10.1016/j.ejca.2022.05.010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132427317&doi=10.1016%2fj.ejca.2022.05.010&partnerID=40&md5=28a88e39c9ceda7233f360c55ad98e2a,15,182,,,,,,Article,Scopus,15,,,,,
17,,,,The impact of refactoring on maintability of Java code: A preliminary review,,,Gradinik M.; Karakati? S.; Berani? T.; Heri?ko M.; Maua G.; Grbac T.G.,55531148400; 55772495000; 57203508230; 6603385018; 55338667600; 57202354149,,,2019,,,,CEUR Workshop Proceedings,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076458785&partnerID=40&md5=c9394985c9a562bbc1ccd438dfa6ccce,1,,,,,,,Conference paper,Scopus,1,,,,,
18,,,,How far are we from reproducible research on code smell detection? A systematic literature review,,,Lewowski T.; Madeyski L.,57207640692; 14045220900,,,2022,,,,Information and Software Technology,,10.1016/j.infsof.2021.106783,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121219205&doi=10.1016%2fj.infsof.2021.106783&partnerID=40&md5=c424da6e060e9afbc9a9944ba5947299,16,,,,,,,Review,Scopus,16,,,,,
19,,,,A survey on machine learning techniques applied to source code,,,Sharma T.; Kechagia M.; Georgiou S.; Tiwari R.; Vats I.; Moazen H.; Sarro F.,25224153100; 36634273100; 56988937100; 56583482300; 57928881700; 54951876300; 36631133800,,,2024,,,,Journal of Systems and Software,,10.1016/j.jss.2023.111934,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181046174&doi=10.1016%2fj.jss.2023.111934&partnerID=40&md5=878c3604b3353452697955130c6a6a77,0,,,,,,,Article,Scopus,0,,,,,
20,,,,Seven Hints That Early-Time New Physics Alone Is Not Sufficient to Solve the Hubble Tension,,,Vagnozzi S.,56491137600,,,2023,,,,Universe,,10.3390/universe9090393,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172195424&doi=10.3390%2funiverse9090393&partnerID=40&md5=75be71e735a76328c9a59b9ee56ff084,14,,,,,,,Article,Scopus,14,,,,,
21,,,,Impact of Machine Learning on Software Development Life Cycle,,,Navaei M.; Tabrizi N.,57948939900; 53364389900,,,2023,,,,"International Conference on Evaluation of Novel Approaches to Software Engineering, ENASE - Proceedings",,10.5220/0011997200003464,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160560764&doi=10.5220%2f0011997200003464&partnerID=40&md5=0e25b7b57d2acad51e499888892cb95d,0,726,,,,,,Conference paper,Scopus,0,,,,,
22,,,,The COVID-19 Pandemic and the Interest in Prayer and Spirituality in Poland According to Google Trends Data in the CONTEXT of the Mediatisation of Religion Processes,,,Sta?do J.; Piechnik-Czy? G.; Adamski A.; Fechner ?.,36195844500; 57387852000; 57196036563; 26021751600,,,2022,,,,Religions,,10.3390/rel13070655,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135467669&doi=10.3390%2frel13070655&partnerID=40&md5=a974d7d0617ff6de30bac7b8f34b1fc2,3,,,,,,,Article,Scopus,3,,,,,
23,,,,How software engineering research aligns with design science: a review,,,Engström E.; Storey M.-A.; Runeson P.; Höst M.; Baldassarre M.T.,26430601700; 7005753655; 57202664772; 6602902996; 7006753985,,,2020,,,,Empirical Software Engineering,,10.1007/s10664-020-09818-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084081553&doi=10.1007%2fs10664-020-09818-7&partnerID=40&md5=9320d5c48ae427ddc3e67c7e309efa64,34,2660,,,,,,Article,Scopus,34,,,,,
24,,,,International Consensus Statement on Allergy and Rhinology: Sinonasal Tumors,,,"Kuan E.C.; Wang E.W.; Adappa N.D.; Beswick D.M.; London N.R., Jr.; Su S.Y.; Wang M.B.; Abuzeid W.M.; Alexiev B.; Alt J.A.; Antognoni P.; Alonso-Basanta M.; Batra P.S.; Bhayani M.; Bell D.; Bernal-Sprekelsen M.; Betz C.S.; Blay J.-Y.; Bleier B.S.; Bonilla-Velez J.; Callejas C.; Carrau R.L.; Casiano R.R.; Castelnuovo P.; Chandra R.K.; Chatzinakis V.; Chen S.B.; Chiu A.G.; Choby G.; Chowdhury N.I.; Citardi M.J.; Cohen M.A.; Dagan R.; Dalfino G.; Dallan I.; Dassi C.S.; de Almeida J.; Dei Tos A.P.; DelGaudio J.M.; Ebert C.S.; El-Sayed I.H.; Eloy J.A.; Evans J.J.; Fang C.H.; Farrell N.F.; Ferrari M.; Fischbein N.; Folbe A.; Fokkens W.J.; Fox M.G.; Lund V.J.; Gallia G.L.; Gardner P.A.; Geltzeiler M.; Georgalas C.; Getz A.E.; Govindaraj S.; Gray S.T.; Grayson J.W.; Gross B.A.; Grube J.G.; Guo R.; Ha P.K.; Halderman A.A.; Hanna E.Y.; Harvey R.J.; Hernandez S.C.; Holtzman A.L.; Hopkins C.; Huang Z.; Huang Z.; Humphreys I.M.; Hwang P.H.; Iloreta A.M.; Ishii M.; Ivan M.E.; Jafari A.; Kennedy D.W.; Khan M.; Kimple A.J.; Kingdom T.T.; Knisely A.; Kuo Y.-J.; Lal D.; Lamarre E.D.; Lan M.-Y.; Le H.; Lechner M.; Lee N.Y.; Lee J.K.; Lee V.H.; Levine C.G.; Lin J.-C.; Lin D.T.; Lobo B.C.; Locke T.; Luong A.U.; Magliocca K.R.; Markovic S.N.; Matnjani G.; McKean E.L.; Meço C.; Mendenhall W.M.; Michel L.; Na'ara S.; Nicolai P.; Nuss D.W.; Nyquist G.G.; Oakley G.M.; Omura K.; Orlandi R.R.; Otori N.; Papagiannopoulos P.; Patel Z.M.; Pfister D.G.; Phan J.; Psaltis A.J.; Rabinowitz M.R.; Ramanathan M., Jr.; Rimmer R.; Rosen M.R.; Sanusi O.; Sargi Z.B.; Schafhausen P.; Schlosser R.J.; Sedaghat A.R.; Senior B.A.; Shrivastava R.; Sindwani R.; Smith T.L.; Smith K.A.; Snyderman C.H.; Solares C.A.; Sreenath S.B.; Stamm A.; Stölzel K.; Sumer B.; Surda P.; Tajudeen B.A.; Thompson L.D.R.; Thorp B.D.; Tong C.C.L.; Tsang R.K.; Turner J.H.; Turri-Zanoni M.; Udager A.M.; van Zele T.; VanKoevering K.; Welch K.C.; Wise S.K.; Witterick I.J.; Won T.-B.; Wong S.N.; Woodworth B.A.; Wormald P.-J.; Yao W.C.; Yeh C.-F.; Zhou B.; Palmer J.N.",56331691200; 57190210734; 6504546420; 37025428900; 23995290700; 8630416800; 58735011500; 23092718300; 6701729057; 56232543400; 6604036726; 42160996100; 7006853922; 55279901900; 26323118000; 7005238320; 23484112600; 7103116204; 12771933500; 35848098500; 24280985800; 7006244582; 7005125540; 55637348200; 7401681862; 57212614860; 57219195684; 57458202000; 35975577700; 56946350200; 7003772336; 35397088400; 9943096400; 57222251241; 15839060100; 57128400900; 14047994500; 58732322300; 6603992330; 7005493008; 55613880000; 14019566600; 55636317108; 56651580400; 57194537776; 57226266136; 7003496949; 6504042837; 35355799700; 57219158222; 57214935023; 35229021500; 9738249800; 55639134500; 6603629724; 23396677800; 6603820893; 8559723700; 57190044792; 25821951700; 57210129887; 56900401700; 7004103189; 56029752000; 7005196169; 23485315500; 57188682420; 6602117636; 55543341300; 41761454500; 55386856000; 56816652200; 15723180400; 36782338700; 34879877000; 36015318300; 56740168100; 7403112357; 55621607300; 6508316696; 6701760909; 56076897800; 37059271900; 7006125783; 55735885500; 7102783230; 54995684600; 8550217700; 36072419100; 8702326000; 57209197322; 24281644400; 55549118700; 7403692477; 57188755042; 57217420641; 6603771086; 8723051900; 7005211280; 15045058200; 57200610369; 23467082400; 36041197900; 7101851941; 56173854700; 7005378462; 57209071455; 7004181179; 55669338000; 50162311600; 7007175634; 6604028432; 57195578610; 15124929900; 58100187200; 6701850336; 16686625100; 55800063400; 14043882600; 57204360852; 57211969298; 57197799252; 15729581500; 6507325230; 57203074787; 57194985482; 7102738400; 56938107500; 6507251994; 7405500598; 55882037700; 7005989580; 6603580306; 56196802200; 7006583111; 16433118600; 24725426900; 57140762000; 26656257300; 35451989000; 53882142000; 57201995009; 7102940058; 55279496800; 53985286700; 16032407300; 8101280700; 57189971893; 7201515322; 9333195400; 35475807600; 21935553000; 57904204100; 7004118810; 7006316259; 56596025300; 55959124500; 7401906534; 7403311244,,,2024,,,,International Forum of Allergy and Rhinology,,10.1002/alr.23262,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175027548&doi=10.1002%2falr.23262&partnerID=40&md5=aece8f85a62098d58a00df9894cbb909,2,608,,,,,,Review,Scopus,2,,,,,
26,,,,Exploring the relationships between software architecture and source code,,,Tian F.; Liang P.,57203132092; 24923262400,,,2017,,,,"Proceedings - 2017 24th Asia-Pacific Software Engineering Conference Workshops, APSECW 2017",,10.1109/APSECW.2017.17,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050621985&doi=10.1109%2fAPSECW.2017.17&partnerID=40&md5=3a02651c1ec44b49cba899c3e66c5723,1,16,,,,,,Conference paper,Scopus,1,,,,,
28,,,,Biomimetic engineering for space applications,,,Ayre M.; Lan N.,16315173100; 23975879400,,,2006,,,,"European Space Agency, (Special Publication) ESA SP",,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888846222&partnerID=40&md5=0bb9ab2d17d357ae005d730c59c69eca,6,,,,,,,Article,Scopus,6,,,,,
29,,,,Prognostic Value of CYP1A2 (rs2069514 and rs762551) Polymorphisms in COVID-19 Patients,,,Bozkurt I.; Gözler T.; Yüksel I.; Ulucan K.; Tarhan K.N.,58550300600; 58550516800; 57204766421; 36544705800; 18538260400,,,2023,,,,Balkan Journal of Medical Genetics,,10.2478/bjmg-2023-0005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168845064&doi=10.2478%2fbjmg-2023-0005&partnerID=40&md5=996fe3f885c29c4b5f24112d7293c0cf,0,42,,,,,,Article,Scopus,0,,,,,
30,,,,"Composite refactoring: Representations, characteristics and effects on software projects",,,Bibiano A.C.; Uchôa A.; Assunção W.K.G.; Tenório D.; Colanzi T.E.; Vergilio S.R.; Garcia A.,57202890121; 57201011963; 37361009900; 57194164196; 35145339600; 6506290092; 7404608626,,,2023,,,,Information and Software Technology,,10.1016/j.infsof.2022.107134,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145966825&doi=10.1016%2fj.infsof.2022.107134&partnerID=40&md5=581350936b5b9365cc7476ca1738340b,2,,,,,,,Article,Scopus,2,,,,,
31,,,,Exploring the Intersection between Software Maintenance and Machine LearningA Systematic Mapping Study,,,Bastías O.A.; Díaz J.; López Fenner J.,57420013300; 57205075178; 6602705426,,,2023,,,,Applied Sciences (Switzerland),,10.3390/app13031710,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148016807&doi=10.3390%2fapp13031710&partnerID=40&md5=cbaabb2fc04d4b8693355f359d186530,2,,,,,,,Article,Scopus,2,,,,,
32,,,,The effect of traditional Chinese medicine treatment for post-viral olfactory dysfunction: A protocol for systematic review and meta-analysis,,,Ma F.; Zhang H.; Li B.; Cheng P.; Ma Y.; Yu M.; Wang X.,57223171689; 57218915144; 57200821943; 57189213366; 57198591091; 55475809100; 57206601467,,,2021,,,,Medicine (United States),,10.1097/MD.0000000000025536,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105111135&doi=10.1097%2fMD.0000000000025536&partnerID=40&md5=2d7660ee166a286b358f58cc6fed72b2,5,,,,,,,Review,Scopus,5,,,,,
33,,,,Cognitive Driven Development helps software teams to keep code units under the limit!,,,Pinto G.; de Souza A.,54941690500; 57779458900,,,2023,,,,Journal of Systems and Software,,10.1016/j.jss.2023.111830,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171792938&doi=10.1016%2fj.jss.2023.111830&partnerID=40&md5=cf6457449a63186a499cc7d044a76aa0,0,,,,,,,Article,Scopus,0,,,,,
34,,,,Taste and smell in aquatic and terrestrial environments,,,Mollo E.; Garson M.J.; Polese G.; Amodeo P.; Ghiselin M.T.,6701577002; 24922806900; 7003811649; 7004726760; 57204494307,,,2017,,,,Natural Product Reports,,10.1039/c7np00008a,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019958486&doi=10.1039%2fc7np00008a&partnerID=40&md5=e33a7d9377f19208298e29d992b42f8c,40,513,,,,,,Review,Scopus,40,,,,,
35,,,,Clinical update on COVID-19 for the emergency clinician: Presentation and evaluation,,,Long B.; Carius B.M.; Chavez S.; Liang S.Y.; Brady W.J.; Koyfman A.; Gottlieb M.,56740121200; 57195559904; 57195353901; 36056796100; 7102460804; 54386981500; 56089778500,,,2022,,,,American Journal of Emergency Medicine,,10.1016/j.ajem.2022.01.028,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123802943&doi=10.1016%2fj.ajem.2022.01.028&partnerID=40&md5=eef0780082f99ea6af1a2f0cd23d6fd9,111,57,,,,,,Review,Scopus,111,,,,,
36,,,,Integrating Visual Aids to Enhance the Code Reviewer Selection Process,,,Rahman M.S.; Mondal D.; Codabux Z.; Roy C.K.,58777789500; 36190110000; 55893535500; 36176304400,,,2023,,,,"Proceedings - 2023 IEEE International Conference on Software Maintenance and Evolution, ICSME 2023",,10.1109/ICSME58846.2023.00037,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181531703&doi=10.1109%2fICSME58846.2023.00037&partnerID=40&md5=6f6e75ed5602fd7e447c41b619ce4109,0,305,,,,,,Conference paper,Scopus,0,,,,,
37,,,,"PHYSIOLOGICAL ROLES OF HYDROGEN SULFIDE IN MAMMALIAN CELLS, TISSUES, AND ORGANS",,,Cirino G.; Szabo C.; Papapetropoulos A.,7006917147; 36041388400; 7003430118,,,2023,,,,Physiological Reviews,,10.1152/physrev.00028.2021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141677283&doi=10.1152%2fphysrev.00028.2021&partnerID=40&md5=29ade9e6c547b76ccd8333b6aca3deec,89,276,,,,,,Article,Scopus,89,,,,,
39,,,,On the Assessment of Interactive Detection of Code Smells in Practice: A Controlled Experiment,,,Albuquerque D.; Guimaraes E.; Perkusich M.; Rique T.; Cunha F.; Almeida H.; Perkusich A.,57190744501; 55516441300; 37075430200; 57791717200; 57210381836; 22733296600; 6701736103,,,2023,,,,IEEE Access,,10.1109/ACCESS.2023.3302260,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166779930&doi=10.1109%2fACCESS.2023.3302260&partnerID=40&md5=5af575013096f100c03a749fd683aadf,0,84606,,,,,,Article,Scopus,0,,,,,
40,,,,Code Smell Detection Driven by Hybrid Feature Selection and Ensemble Learning,,,Ai C.H.; Gao J.H.; Huang Z.J.,57961679700; 55702611100; 57210743971,,,2022,,,,Jisuanji Gongcheng/Computer Engineering,,10.19678/j.issn.1000-3428.0062165,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141697658&doi=10.19678%2fj.issn.1000-3428.0062165&partnerID=40&md5=63b2837acf90d9fe4072dd83032f9643,1,,,,,,,Article,Scopus,1,,,,,
42,,,,The human genetic epidemiology of COVID-19,,,Niemi M.E.K.; Daly M.J.; Ganna A.,57204136382; 7201456226; 57205732943,,,2022,,,,Nature Reviews Genetics,,10.1038/s41576-022-00478-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129340871&doi=10.1038%2fs41576-022-00478-5&partnerID=40&md5=927337b938ce563ffc93c44a149617d2,53,546,,,,,,Review,Scopus,53,,,,,
44,,,,COVID-19 Infection and Circulating MicroparticlesReviewing Evidence as Microthrombogenic Risk Factor for Cerebral Small Vessel Disease,,,Che Mohd Nassir C.M.N.; Hashim S.; Wong K.K.; Abdul Halim S.; Idris N.S.; Jayabalan N.; Guo D.; Mustapha M.,57224972632; 57221993995; 57054532900; 56362803200; 57205581630; 55541862900; 56528779200; 6506482465,,,2021,,,,Molecular Neurobiology,,10.1007/s12035-021-02457-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108817038&doi=10.1007%2fs12035-021-02457-z&partnerID=40&md5=7f33fd1a6166848b4277fd7551e36fae,16,4215,,,,,,Review,Scopus,16,,,,,
45,,,,Modern Code Reviews - Survey of Literature and Practice,,,Badampudi D.; Unterkalmsteiner M.; Britto R.,57184336700; 36245433300; 25640516000,,,2023,,,,ACM Transactions on Software Engineering and Methodology,,10.1145/3585004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163852501&doi=10.1145%2f3585004&partnerID=40&md5=ca72efe7435d9cbe7b231095b40fa810,1,,,,,,,Article,Scopus,1,,,,,
46,,,,A Live Extensible Ontology of Quality Factors for Textual Requirements,,,Frattini J.; Montgomery L.; Fischbach J.; Unterkalmsteiner M.; Mendez D.; Fucci D.,57220116066; 57196369811; 57215317807; 36245433300; 55614741000; 55766423800,,,2022,,,,Proceedings of the IEEE International Conference on Requirements Engineering,,10.1109/RE54965.2022.00041,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140969591&doi=10.1109%2fRE54965.2022.00041&partnerID=40&md5=e46af0c00525fa31329de0504ab8f4c6,6,280,,,,,,Conference paper,Scopus,6,,,,,
47,,,,Influence of RVFV Infection on Olfactory Perception and Behavior in Drosophila melanogaster,,,Bergmann S.; Bohn M.C.; Dornbusch S.; Becker S.C.; Stern M.,57315176000; 57219466407; 57223313884; 56152795600; 57196830381,,,2023,,,,Pathogens,,10.3390/pathogens12040558,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85154597244&doi=10.3390%2fpathogens12040558&partnerID=40&md5=39fe6a0cb2be5b80e73a5dde08e9e39a,2,,,,,,,Article,Scopus,2,,,,,
48,,,,Code smell detection based on supervised learning models: A survey,,,Zhang Y.; Ge C.; Liu H.; Zheng K.,55816561700; 57681534600; 58686957100; 57205196717,,,2024,,,,Neurocomputing,,10.1016/j.neucom.2023.127014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176210702&doi=10.1016%2fj.neucom.2023.127014&partnerID=40&md5=89ccee739932ffba0748ed4f7551946c,0,,,,,,,Short survey,Scopus,0,,,,,
49,,,,Development of compact electronic noses: A review,,,Cheng L.; Meng Q.-H.; Lilienthal A.J.; Qi P.-F.,57216843128; 22433584000; 15623407200; 56155176900,,,2021,,,,Measurement Science and Technology,,10.1088/1361-6501/abef3b,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104940373&doi=10.1088%2f1361-6501%2fabef3b&partnerID=40&md5=b665f873f8d84d9582dd0f548290aa27,57,,,,,,,Review,Scopus,57,,,,,
51,,,,Addressing the post-acute sequelae of SARS-CoV-2 infection: a multidisciplinary model of care,,,Parker A.M.; Brigham E.; Connolly B.; McPeake J.; Agranovich A.V.; Kenes M.T.; Casey K.; Reynolds C.; Schmidt K.F.R.; Kim S.Y.; Kaplin A.; Sevin C.M.; Brodsky M.B.; Turnbull A.E.,55652121500; 36025022100; 55044436900; 54879798000; 16229479300; 57191042195; 56819826400; 57322951300; 7403914620; 55874864000; 7004283789; 36646695500; 7102901117; 7201506134,,,2021,,,,The Lancet Respiratory Medicine,,10.1016/S2213-2600(21)00385-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118493645&doi=10.1016%2fS2213-2600%2821%2900385-4&partnerID=40&md5=cb609639bab0c5107867276f40082436,89,1341,,,,,,Review,Scopus,89,,,,,
52,,,,"Phylogenetic relationships of Asimina and Deeringothamnus (Annonaceae) based on morphology, floral scent chemistry, and Inter-Simple Sequence Repeat data",,,Mercer E.; Griffin B.; Steele J.; Goodrich K.R.; Bush C.M.,57023433700; 57023164100; 57023010800; 10938939400; 36764060400,,,2016,,,,Journal of the Torrey Botanical Society,,10.3159/TORREY-D-14-00045.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952064178&doi=10.3159%2fTORREY-D-14-00045.1&partnerID=40&md5=4e8a67b3e8d007e792f4df1039de073a,1,68,,,,,,Article,Scopus,1,,,,,
53,,,,Food consumption determinants and barriers for healthy eating at the workplacea university setting,,,Lima J.P.M.; Costa S.A.; Brandão T.R.S.; Rocha A.,57200553777; 57200551428; 6602174128; 7102196611,,,2021,,,,Foods,,10.3390/foods10040695,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103845689&doi=10.3390%2ffoods10040695&partnerID=40&md5=2f2049dbc76b67266cffaac61af79ae6,16,,,,,,,Article,Scopus,16,,,,,
56,,,,Specialising Software for Different Downstream Applications Using Genetic Improvement and Code Transplantation,,,Petke J.; Harman M.; Langdon W.B.; Weimer W.,36615643200; 7006379048; 8724450500; 7003629741,,,2018,,,,IEEE Transactions on Software Engineering,,10.1109/TSE.2017.2702606,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023741332&doi=10.1109%2fTSE.2017.2702606&partnerID=40&md5=7ed07a5d5f0ff0fdb634096a41e0e9ab,25,594,,,,,,Article,Scopus,25,,,,,
