id,journal,cst,cstyear,csc,cscyear,sjr,sjryear,snip,snipyear
34,International Journal of Oral and Maxillofacial Surgery,2.04,2018,2.14,2017,1.137,2017,1.381,2017
35,Gastrointestinal Endoscopy,2.63,2018,2.38,2017,2.139,2017,1.995,2017
36,Interacting with Computers,1.52,2018,1.35,2017,0.292,2017,1.006,2017
37,Neuropsychologia,3.26,2018,3.05,2017,1.683,2017,1.043,2017
38,Computers & Education,7.6,2018,5.88,2017,2.626,2017,3.553,2017
39,Cor et Vasa,0.36,2018,0.32,2017,0.15,2017,0.21,2017
40,Futures,3.11,2018,2.41,2017,1.233,2017,1.397,2017
41,Applied Soft Computing,6.18,2018,4.81,2017,1.199,2017,2.006,2017
42,Computers in Human Behavior,6.07,2018,4.57,2017,1.555,2017,2.125,2017
43,Automation in Construction,6.19,2018,5.36,2017,1.613,2017,2.568,2017
44,Journal of Surgical Education,2.01,2018,1.9,2017,0.976,2017,1.112,2017
45,Computers & Graphics,1.81,2018,1.7,2017,0.355,2017,1.026,2017
46,Research in Developmental Disabilities,2.31,2018,2.18,2017,0.898,2017,1.192,2017
47,Artificial Intelligence in Medicine,4.27,2018,3.2,2017,0.766,2017,1.569,2017
48,Futures,3.11,2018,2.41,2017,1.233,2017,1.397,2017
49,Procedia - Social and Behavioral Sciences,0.0,0,0.0,0,0.158,2015,0.649,2015
50,Resuscitation,3.82,2018,3.81,2017,2.643,2017,1.993,2017
51,Procedia - Social and Behavioral Sciences,0.0,0,0.0,0,0.158,2015,0.649,2015
52,Procedia - Social and Behavioral Sciences,0.0,0,0.0,0,0.158,2015,0.649,2015
53,Procedia - Social and Behavioral Sciences,0.0,0,0.0,0,0.158,2015,0.649,2015
54,Procedia - Social and Behavioral Sciences,0.0,0,0.0,0,0.158,2015,0.649,2015
55,Procedia - Social and Behavioral Sciences,0.0,0,0.0,0,0.158,2015,0.649,2015
56,Procedia - Social and Behavioral Sciences,0.0,0,0.0,0,0.158,2015,0.649,2015
57,Powder Technology,3.78,2018,3.47,2017,0.982,2017,1.669,2017
58,Poetics,2.6,2018,1.88,2017,1.183,2017,1.136,2017
59,International Journal of Gynecology & Obstetrics,1.79,2018,1.64,2017,0.877,2017,1.011,2017
60,Computerized Medical Imaging and Graphics,3.62,2018,2.56,2017,0.714,2017,1.369,2017
61,Pattern Recognition,7.14,2018,4.95,2017,1.065,2017,2.472,2017
62,Metal Finishing,0.0,0,0.0,0,0.132,2016,0.288,2016
63,Advances in Space Research,1.95,2018,1.63,2017,0.569,2017,1.067,2017
64,Information and Organization,3.7,2018,3.15,2017,1.202,2017,2.065,2017
65,Advanced Engineering Informatics,5.58,2018,4.15,2017,1.167,2017,1.883,2017
66,Manual Therapy,0.0,0,2.0,2016,0.0,0,0.0,0
67,Computer Methods and Programs in Biomedicine,3.92,2018,3.49,2017,0.786,2017,1.767,2017
68,Computers & Graphics,1.81,2018,1.7,2017,0.355,2017,1.026,2017
69,Technological Forecasting and Social Change,4.35,2018,3.42,2017,1.38,2017,1.693,2017
70,Journal of Systems and Software,4.17,2018,3.2,2017,0.472,2017,1.868,2017
71,Advanced Engineering Informatics,5.58,2018,4.15,2017,1.167,2017,1.883,2017
72,Applied Soft Computing,6.18,2018,4.81,2017,1.199,2017,2.006,2017
73,Basal Ganglia,0.96,2018,1.03,2017,0.421,2017,0.371,2017
74,Metal Finishing,0.0,0,0.0,0,0.132,2016,0.288,2016
75,Physiotherapy,2.48,2018,2.47,2017,1.004,2017,1.404,2017
76,Robotics and Autonomous Systems,4.26,2018,3.36,2017,0.711,2017,1.838,2017
77,Advances in Surgery,1.28,2018,1.54,2017,0.555,2017,0.766,2017
78,Mechatronics,3.91,2018,3.06,2017,0.79,2017,1.72,2017
79,Collegian,1.54,2018,1.32,2017,0.574,2017,0.896,2017
80,Seminars in Vascular Surgery,1.87,2018,1.61,2017,0.755,2017,0.763,2017
81,Nurse Education in Practice,1.94,2018,1.54,2017,0.764,2017,1.031,2017
82,Physiotherapy,2.48,2018,2.47,2017,1.004,2017,1.404,2017
83,Computers & Education,7.6,2018,5.88,2017,2.626,2017,3.553,2017
84,Journal of Environmental Psychology,5.09,2018,4.67,2017,1.853,2017,2.091,2017
85,Computer Methods and Programs in Biomedicine,3.92,2018,3.49,2017,0.786,2017,1.767,2017
86,Archives of Physical Medicine and Rehabilitation,3.06,2018,3.17,2017,1.501,2017,1.593,2017
87,World Neurosurgery,1.52,2018,1.52,2017,0.668,2017,0.857,2017
88,Applied Soft Computing,6.18,2018,4.81,2017,1.199,2017,2.006,2017
89,Computers & Mathematics with Applications,0.0,0,0.0,0,0.0,0,0.0,0
