id,issn,idl,Abstract,Title,Autherkeywords,Indexkeywords,Author,AuthorsID,Volume,Issue,Year,Pagestart,Pageend,Pagecount,Source,ENTRYTYPE,doi,url,citation_count,Affiliations,Authors_affiliations,Address,Publisher,Language,AbbreviatedSource,Document_Type,Publication_Stage,Access_Type,EID,author_publ_age,author_age,doc_id,author_order
11,,,,Agent-based simulation and optimization of hybrid flow shop considering multi-skilled workers and fatigue factors,,,"Liu Y., Shen W., Zhang C., Sun X.",57224530865;57605521100;55532751700;57191376034;,,,2023,,,,Robotics and Computer-Integrated Manufacturing,,10.1016/j.rcim.2022.102478,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140232250&doi=10.1016%2fj.rcim.2022.102478&partnerID=40&md5=706ea298bdfa44a0e6d3d1c4904dce3e,102478,,,,,,,,,,,,,,
12,,,,A design of experiments CyberPhysical System for energy modelling and optimisation in end-milling machining,,,"Pantazis D., Pease S.G., Goodall P., West A., Conway P.",57213118969;43961432700;56037510100;52464991600;57933172500;,,,2023,,,,Robotics and Computer-Integrated Manufacturing,,10.1016/j.rcim.2022.102469,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140142845&doi=10.1016%2fj.rcim.2022.102469&partnerID=40&md5=fe4eb21baa7011e8a066d6c3759b78cd,102469,,,,,,,,,,,,,,
13,,,,Deep learning based online metallic surface defect detection method for wire and arc additive manufacturing,,,"Li W., Zhang H., Wang G., Xiong G., Zhao M., Li G., Li R.",57931138200;57772732500;57930991000;57930991100;57210175522;57273146400;57205200004;,,,2023,,,,Robotics and Computer-Integrated Manufacturing,,10.1016/j.rcim.2022.102470,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140029797&doi=10.1016%2fj.rcim.2022.102470&partnerID=40&md5=0de34e368d39e3684e937d426d3b8e9c,102470,,,,,,,,,,,,,,
14,,,,An AR-assisted Deep Reinforcement Learning-based approach towards mutual-cognitive safe human-robot interaction,,,"Li C., Zheng P., Yin Y., Pang Y.M., Huo S.",57226701156;56352424300;57700194200;57443149600;57219796167;,,,2023,,,,Robotics and Computer-Integrated Manufacturing,,10.1016/j.rcim.2022.102471,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139873087&doi=10.1016%2fj.rcim.2022.102471&partnerID=40&md5=2036338c048c302bde5a9428bd811abc,102471,,,,,,,,,,,,,,
15,,,,"ROS-Industrial based robotic cell for Industry 4.0: Eye-in-hand stereo camera and visual servoing for flexible, fast, and accurate picking and hooking in the production line",,,"D'Avella S., Avizzano C.A., Tripicchio P.",57212352095;6603815755;24588210500;,,,2023,,,,Robotics and Computer-Integrated Manufacturing,,10.1016/j.rcim.2022.102453,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139323000&doi=10.1016%2fj.rcim.2022.102453&partnerID=40&md5=26cc3907528ae19f5e1c82959160d8d8,102453,,,,,,,,,,,,,,
16,,,,Accelerating local SGD for non-IID data using variance reduction,,,"Liang X., Shen S., Chen E., Liu J., Liu Q., Cheng Y., Pan Z.",57215880591;57198779780;35228685900;57838398800;57020139900;57215881904;57193523471;,,,2023,,,,Frontiers of Computer Science,,10.1007/s11704-021-1018-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135745755&doi=10.1007%2fs11704-021-1018-0&partnerID=40&md5=5860a7b2e9223b3e52aea66d18602a3d,172311,2,,,,,,,,,,,,,
17,,,,Mechanical Fault Types Detection in Transformer Windings Using Interpretation of Frequency Responses via Multilayer Perceptron,,,"Behkam R., Moradzadeh A., Karami H., Naderi M.S., Mohammadi-Ivatloo B., Gharehpetian G.B., Tenbohlen S.",57221132094;57212023917;55370533900;56102787700;57195631360;6603012446;6602926746;,,,2023,,,,Journal of Operation and Automation in Power Engineering,,10.22098/JOAPE.2023.9259.1646,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132818559&doi=10.22098%2fJOAPE.2023.9259.1646&partnerID=40&md5=e546caf1c6bf1ba268c1da7b4dce87a8,0,1,,,,,,,11,21,,,,,
18,,,,Molecular behavior and interactions with microbes during anaerobic degradation of bio-derived DOM in waste leachate,,,"Qiu J., Li T., Lü F., Huang Y., Li C., Zhang H., Shao L., He P.",57205581512;57754121400;36918865300;57215695967;57221583062;56980026800;57754121500;7202088514;,,,2023,,,,Journal of Environmental Sciences (China),,10.1016/j.jes.2022.04.015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132410463&doi=10.1016%2fj.jes.2022.04.015&partnerID=40&md5=50ac5b85d634ca46875385599df1e4e8,0,,,,,,,,174,183,,,,,
19,,,,"Impacts of meteorology and precursor emission change on O3 variation in Tianjin, China from 2015 to 2021",,,"Ding J., Dai Q., Fan W., Lu M., Zhang Y., Han S., Feng Y.",56898369800;56653000700;37058816300;57195422304;36049792800;8321131100;57750208000;,,,2023,,,,Journal of Environmental Sciences (China),,10.1016/j.jes.2022.03.010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132213366&doi=10.1016%2fj.jes.2022.03.010&partnerID=40&md5=a2183150afeb6049bdb764a018bea5a2,0,,,,,,,,506,516,,,,,
20,,,,Umami-MRNN: Deep learning-based prediction of umami peptide using RNN and MLP,,,"Qi L., Du J., Sun Y., Xiong Y., Zhao X., Pan D., Zhi Y., Dang Y., Gao X.",57225020353;57966110400;57206700766;57480801000;57966069800;57933214000;57966069900;44661003300;56389799000;,,,2023,,,,Food Chemistry,,10.1016/j.foodchem.2022.134935,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141915356&doi=10.1016%2fj.foodchem.2022.134935&partnerID=40&md5=a5ee6f9f889d6ce98677fa95b6c224c3,134935,,,,,,,,,,,,,,
21,,,,Qualitative and quantitative prediction of food allergen epitopes based on machine learning combined with in vitro experimental validation,,,"Yu X.-X., Liu M.-Q., Li X.-Y., Zhang Y.-H., Tao B.-J.",57205391029;57310172500;57567896300;37057977500;57954200700;,,,2023,,,,Food Chemistry,,10.1016/j.foodchem.2022.134796,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141296329&doi=10.1016%2fj.foodchem.2022.134796&partnerID=40&md5=998a6cdc88d92c9181f917033f1c9a84,134796,,,,,,,,,,,,,,
22,,,,Screening key technical indicators for speed climbing based on machine learning,,,"Guopeng Y., Jianqing W., Fei L., Qiang Y., Haoyan L., Ying W.",57919770800;57919415700;57920279800;57919585400;57920625000;57920279900;,,,2023,,,,Chinese Journal of Tissue Engineering Research,,10.12307/2023.096,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139527386&doi=10.12307%2f2023.096&partnerID=40&md5=505521cf3898ce470195f1ebb278ab77,0,5,,,,,,,738,744,,,,,
23,,,,Neural network based iterative learning control for magnetic shape memory alloy actuator with iteration-dependent uncertainties,,,"Yu Y., Zhang C., Cao W., Huang X., Zhang X., Zhou M.",57214104601;57208423179;57970280600;57214942621;45761645600;9737491700;,,,2023,,,,Mechanical Systems and Signal Processing,,10.1016/j.ymssp.2022.109950,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142192778&doi=10.1016%2fj.ymssp.2022.109950&partnerID=40&md5=59c1eb63180262b9a073e3799efb70a0,109950,,,,,,,,,,,,,,
24,,,,"Corrigendum to Diagnosis and distinguishment of open-switch and current sensor faults in PMSM drives using improved regularized extreme learning machine [Mech. Syst. Signal Process. 171 (2022) 108866] (Mechanical Systems and Signal Processing (2022) 171, (S0888327022000620), (10.1016/j.ymssp.2022.108866))",,,"Xiao L., Zhang L., Yan Z., Li Y., Su X., Song W.",57199923754;57957134600;57221958641;57957361600;57681018200;57427500400;,,,2023,,,,Mechanical Systems and Signal Processing,,10.1016/j.ymssp.2022.109941,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141515980&doi=10.1016%2fj.ymssp.2022.109941&partnerID=40&md5=123614a47966dae9a67666aa11f93a52,109941,,,,,,,,,,,,,,
25,,,,AcMEAccelerated model-agnostic explanations: Fast whitening of the machine-learning black box,,,"Dandolo D., Masiero C., Carletti M., Dalle Pezze D., Susto G.A.",57958145500;37085375800;57212227419;57386192800;54382424500;,,,2023,,,,Expert Systems with Applications,,10.1016/j.eswa.2022.119115,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141498082&doi=10.1016%2fj.eswa.2022.119115&partnerID=40&md5=b00e95b5e01c4312c44f571487f7a584,119115,,,,,,,,,,,,,,
26,,,,Peer-to-peer deep learning with non-IID data,,,"ajina R., Tankovi? N., Ipi? I.",57384228700;55148441400;7801459562;,,,2023,,,,Expert Systems with Applications,,10.1016/j.eswa.2022.119159,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141485592&doi=10.1016%2fj.eswa.2022.119159&partnerID=40&md5=a2dfb76957bd970fecdaf5ce93051e80,119159,,,,,,,,,,,,,,
27,,,,Predicting and explaining performance and diversity of neural network architecture for semantic segmentation,,,"Graham-Knight J.B., Bond C., Najjaran H., Lucet Y., Lasserre P.",57218573092;57957022100;57203257121;22954204500;26632075500;,,,2023,,,,Expert Systems with Applications,,10.1016/j.eswa.2022.119101,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141478032&doi=10.1016%2fj.eswa.2022.119101&partnerID=40&md5=8cf089450507f3639400df2b8428e38c,119101,,,,,,,,,,,,,,
28,,,,A machine learning-based approach for vital node identification in complex networks,,,"Asgharian Rezaei A., Munoz J., Jalili M., Khayyam H.",57928789300;57226269575;22035084800;26422988300;,,,2023,,,,Expert Systems with Applications,,10.1016/j.eswa.2022.119086,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141471843&doi=10.1016%2fj.eswa.2022.119086&partnerID=40&md5=ec8121545ffd6b2abca44b13b2a258b8,119086,,,,,,,,,,,,,,
29,,,,Bayesian game model based unsupervised sentiment analysis of product reviews,,,"Punetha N., Jain G.",57220040849;57192682690;,,,2023,,,,Expert Systems with Applications,,10.1016/j.eswa.2022.119128,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141320345&doi=10.1016%2fj.eswa.2022.119128&partnerID=40&md5=33aeba7fc7a0887510d0332cad9f3e19,119128,,,,,,,,,,,,,,
30,,,,A Siamese Neural Network for Learning Semantically-Informed Sentence Embeddings,,,"Bölücü N., Can B., Artuner H.",57195220468;36605713200;6504413319;,,,2023,,,,Expert Systems with Applications,,10.1016/j.eswa.2022.119103,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141298880&doi=10.1016%2fj.eswa.2022.119103&partnerID=40&md5=b5f1269adf9241261099435da5b15999,119103,,,,,,,,,,,,,,
31,,,,Solving 3D packing problem using Transformer network and reinforcement learning,,,"Que Q., Yang F., Zhang D.",57954786200;57953167000;36676066600;,,,2023,,,,Expert Systems with Applications,,10.1016/j.eswa.2022.119153,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141296353&doi=10.1016%2fj.eswa.2022.119153&partnerID=40&md5=7ee57388bf625a8b667dbe60666e2c62,119153,,,,,,,,,,,,,,
32,,,,Classification of neurologic outcomes from medical notes using natural language processing,,,"Fernandes M.B., Valizadeh N., Alabsi H.S., Quadri S.A., Tesh R.A., Bucklin A.A., Sun H., Jain A., Brenner L.N., Ye E., Ge W., Collens S.I., Lin S., Das S., Robbins G.K., Zafar S.F., Mukerji S.S., Brandon Westover M.",57954315900;57714366200;57221458502;57193725465;57218187387;57216638560;57201066109;57213190484;56012486400;57196149959;57211392024;57219909058;57954085000;36622324900;7006745852;57189590249;16318908700;55384180400;,,,2023,,,,Expert Systems with Applications,,10.1016/j.eswa.2022.119171,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141281128&doi=10.1016%2fj.eswa.2022.119171&partnerID=40&md5=b41a293f844f7c95534627cb7fd80022,119171,,,,,,,,,,,,,,
33,,,,Hyperparameter optimized classification pipeline for handling unbalanced urban and rural energy consumption patterns,,,"Kumar Panda D., Das S., Townley S.",57954553000;57193720393;7004844816;,,,2023,,,,Expert Systems with Applications,,10.1016/j.eswa.2022.119127,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141257825&doi=10.1016%2fj.eswa.2022.119127&partnerID=40&md5=866037697257a87a7525b6fa754d7b87,119127,,,,,,,,,,,,,,
34,,,,Classification of image encoded SSVEP-based EEG signals using Convolutional Neural Networks,,,"de Paula P.O., da Silva Costa T.B., de Faissol Attux R.R., Fantinato D.G.",57221570742;57953842900;35546900100;55917698800;,,,2023,,,,Expert Systems with Applications,,10.1016/j.eswa.2022.119096,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141228390&doi=10.1016%2fj.eswa.2022.119096&partnerID=40&md5=a14cb41e01cb2c91aa5a13e716768745,119096,,,,,,,,,,,,,,
35,,,,A quantitative diagnostic method of feature coordination for machine learning model with massive data from rotary machine,,,"Lee Y., Park B., Jo M., Lee J., Lee C.",57218193369;57218195632;57220131263;57947766100;57395258000;,,,2023,,,,Expert Systems with Applications,,10.1016/j.eswa.2022.119117,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140909651&doi=10.1016%2fj.eswa.2022.119117&partnerID=40&md5=78820e5ba0e9a431f22cf9644c1da9a5,119117,,,,,,,,,,,,,,
36,,,,Multivariate versus machine learning-based classification of rapid evaporative Ionisation mass spectrometry spectra towards industry based large-scale fish speciation,,,"De Graeve M., Birse N., Hong Y., Elliott C.T., Hemeryck L.Y., Vanhaecke L.",57202055738;57217033725;57188973468;57217025966;55339106000;23092256600;,,,2023,,,,Food Chemistry,,10.1016/j.foodchem.2022.134632,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140313995&doi=10.1016%2fj.foodchem.2022.134632&partnerID=40&md5=afe7b1f04695a26340132d31427e3c33,134632,,,,,,,,,,,,,,
37,,,,A rapid selection strategy for umami peptide screening based on machine learning and molecular docking,,,"Li C., Hua Y., Pan D., Qi L., Xiao C., Xiong Y., Lu W., Dang Y., Gao X., Zhao Y.",57933186500;57205727777;57933214000;57225020353;57933214100;57480801000;57933369400;44661003300;56389799000;57933267600;,,,2023,,,,Food Chemistry,,10.1016/j.foodchem.2022.134562,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140143762&doi=10.1016%2fj.foodchem.2022.134562&partnerID=40&md5=692c2914aba4e468e018ffa97c5336cc,134562,,,,,,,,,,,,,,
38,,,,Statistical discrimination using different machine learning models reveals dissimilar key compounds of soybean leaves in targeted polyphenol-metric metabolomics in terms of traits and cultivation,,,"Rha C.-S., Jang E.K., Lee J.S., Kim J.-S., Ko M.-J., Lim S., Park G.H., Kim D.-O.",55212632700;57384825900;57931346400;57931056800;57204361214;57195774378;57930763800;57930624700;,,,2023,,,,Food Chemistry,,10.1016/j.foodchem.2022.134454,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139995775&doi=10.1016%2fj.foodchem.2022.134454&partnerID=40&md5=5601e811f491755582335114c854128d,134454,,,,,,,,,,,,,,
39,,,,"Combining untargeted profiling of phenolics and sterols, supervised multivariate class modelling and artificial neural networks for the origin and authenticity of extra-virgin olive oil: A case study on Taggiasca Ligure",,,"Senizza B., Ganugi P., Trevisan M., Lucini L.",57209855876;57212254671;57201772351;25926562200;,,,2023,,,,Food Chemistry,,10.1016/j.foodchem.2022.134543,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139596581&doi=10.1016%2fj.foodchem.2022.134543&partnerID=40&md5=37c783dc08f28214c245872435f4ca12,134543,,,,,,,,,,,,,,
40,,,,Explainable machine learning-assisted origin identification: Chemical profiling of five lotus (Nelumbo nucifera Gaertn.) parts,,,"Huang J., Li Z., Zhang W., Lv Z., Dong S., Feng Y., Liu R., Zhao Y.",57872559000;57221667758;57872559100;57872559200;57872662100;57872662000;8513257300;57442900800;,,,2023,,,,Food Chemistry,,10.1016/j.foodchem.2022.134517,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139590976&doi=10.1016%2fj.foodchem.2022.134517&partnerID=40&md5=d89ac78ea7e8c0290f8363b56593448c,134517,,,,,,,,,,,,,,
41,,,,Importance of immunometabolic markers for the classification of patients with major depressive disorder using machine learning,,,"Sánchez-Carro Y., de la Torre-Luque A., Leal-Leturia I., Salvat-Pujol N., Massaneda C., de Arriba-Arnau A., Urretavizcaya M., Pérez-Solà V., Toll A., Martínez-Ruiz A., Ferreirós-Martínez R., Pérez S., Sastre J., Álvarez P., Soria V., López-García P.",57211215421;55675442300;6503937584;55110474000;57223049755;56590125700;6603412561;57221356856;56462417700;6701506815;25521761800;37075489700;57960256600;35977625500;23981338400;14622864000;,,,2023,,,,Progress in Neuro-Psychopharmacology and Biological Psychiatry,,10.1016/j.pnpbp.2022.110674,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141732114&doi=10.1016%2fj.pnpbp.2022.110674&partnerID=40&md5=f3a870b9eda807e12c94d38e67c7773f,110674,,,,,,,,,,,,,,
42,,,,Predicting cognitive impairment in chronic kidney disease patients using structural and functional brain network: An application study of artificial intelligence,,,"Wang Y.F., Mao L., Chen H.J., Yang Y.T., Li X.L., Lu G.M., Xing W., Zhang L.J.",56990092600;57966507200;57894087500;57966679800;57214905938;57744530800;55204640500;57851112900;,,,2023,,,,Progress in Neuro-Psychopharmacology and Biological Psychiatry,,10.1016/j.pnpbp.2022.110677,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141942590&doi=10.1016%2fj.pnpbp.2022.110677&partnerID=40&md5=6ea1e03b3af838c6a3e052196a4f846b,110677,,,,,,,,,,,,,,
43,,,,Swallowing disorders analysis using surface EMG biomarkers and classification models,,,"Roldan-Vasco S., Orozco-Duque A., Orozco-Arroyave J.R.",55858248500;55513108300;37861957400;,,,2023,,,,Digital Signal Processing: A Review Journal,,10.1016/j.dsp.2022.103815,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142386585&doi=10.1016%2fj.dsp.2022.103815&partnerID=40&md5=5211f693216e99cd00f84b98df466814,103815,,,,,,,,,,,,,,
44,,,,Unsupervised Feature Selection via Neural Networks and Self-Expression with Adaptive Graph Constraint,,,"You M., Yuan A., He D., Li X.",57104547800;57219592862;57972776200;57947972300;,,,2023,,,,Pattern Recognition,,10.1016/j.patcog.2022.109173,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142332431&doi=10.1016%2fj.patcog.2022.109173&partnerID=40&md5=862443742d8a5c67bf5174b8c9b6e9de,109173,,,,,,,,,,,,,,
45,,,,A data-driven evaluation method for low-temperature performance of lithium-ion batteries,,,"Xu H., Cheng L., Paizulamu D., Zhang Y., Zhu C.",57212456124;57972743500;57972522500;57972522600;57949434400;,,,2023,,,,Energy Reports,,10.1016/j.egyr.2022.11.009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142330900&doi=10.1016%2fj.egyr.2022.11.009&partnerID=40&md5=8b57cbe8aaaa855e771d0e14de4a0aa5,0,,,,,,,,912,921,,,,,
46,,,,A review of emerging research directions in Abstract Visual Reasoning,,,"Ma?ki?ski M., Ma?dziuk J.",57210394404;6603131201;,,,2023,,,,Information Fusion,,10.1016/j.inffus.2022.11.011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142323666&doi=10.1016%2fj.inffus.2022.11.011&partnerID=40&md5=1c8a75a263331cca071ef87681024fa8,0,,,,,,,,713,736,,,,,
47,,,,Functional Status is Key to Long-term Survival in Emergency General Surgery Conditions,,,"Ho V.P., Bensken W.P., Flippin J.A., Santry H.P., Claridge J.A., Towe C.W., Koroukian S.M.",36731108900;57204646134;56897081900;8886330800;7005797718;55566453200;6701404040;,,,2023,,,,Journal of Surgical Research,,10.1016/j.jss.2022.10.034,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142313150&doi=10.1016%2fj.jss.2022.10.034&partnerID=40&md5=243461ba29b1f78e85c9bad5668f2b08,0,,,,,,,,224,232,,,,,
48,,,,"A novel two-dimensional C36 fullerene network; an isotropic, auxetic semiconductor with low thermal conductivity and remarkable stiffness",,,"Mortazavi B., Shojaei F., Zhuang X.",24399312200;6602685980;24485610900;,,,2023,,,,Materials Today Nano,,10.1016/j.mtnano.2022.100280,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142307071&doi=10.1016%2fj.mtnano.2022.100280&partnerID=40&md5=749c6a5fab82108db622387a564a17c6,100280,,,,,,,,,,,,,,
49,,,,Opportunistic capacity based resource allocation for 6G wireless systems with network slicing,,,"Huang J., Yang F., Chakraborty C., Guo Z., Zhang H., Zhen L., Yu K.",57221063268;57226013905;7005340424;57194773275;55969102900;57191848766;56316023300;,,,2023,,,,Future Generation Computer Systems,,10.1016/j.future.2022.10.032,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142185340&doi=10.1016%2fj.future.2022.10.032&partnerID=40&md5=1f13a8b112748b64098c681078cbf585,0,,,,,,,,390,401,,,,,
50,,,,A non-parametric statistical inference framework for Deep Learning in current neuroimaging,,,"Jimenez-Mesa C., Ramirez J., Suckling J., Vöglein J., Levin J., Gorriz J.M., Alzheimer's Disease Neuroimaging Initiative",57212404681;57969524300;7004124496;57194184299;16316945500;7004736801;,,,2023,,,,Information Fusion,,10.1016/j.inffus.2022.11.007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142173022&doi=10.1016%2fj.inffus.2022.11.007&partnerID=40&md5=df4c7ceaf9adb4f53114ff29002e61d7,0,,,,,,,,598,611,,,,,
51,,,,Optimal cost-sensitive credit scoring using a new hybrid performance metric,,,"Khalili N., Rastegar M.A.",57222002757;57218452706;,,,2023,,,,Expert Systems with Applications,,10.1016/j.eswa.2022.119232,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142165977&doi=10.1016%2fj.eswa.2022.119232&partnerID=40&md5=c8e6a6553adf7eefa07ab962f0817aaa,119232,,,,,,,,,,,,,,
52,,,,Performance analysis and comparison of various techniques for short-term load forecasting,,,"Shahare K., Mitra A., Naware D., Keshri R., Suryawanshi H.M.",57227675100;57198257995;57257859400;57969473900;6507872003;,,,2023,,,,Energy Reports,,10.1016/j.egyr.2022.11.086,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142163954&doi=10.1016%2fj.egyr.2022.11.086&partnerID=40&md5=463015e4beecabf7cfcd52536a02c836,0,,,,,,,,799,808,,,,,
53,,,,Spectrum efficiency maximization for multi-hop D2D communication underlaying cellular networks: Machine learning-based methods,,,"Muy S., Lee J.-R.",57209180602;7601482859;,,,2023,,,,Expert Systems with Applications,,10.1016/j.eswa.2022.118167,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142159058&doi=10.1016%2fj.eswa.2022.118167&partnerID=40&md5=8c70a51da0ee9c72c74499cb4ac094d0,118167,,,,,,,,,,,,,,
