id,issn,idl,Abstract,Title,Autherkeywords,Indexkeywords,Author,AuthorsID,Volume,Issue,Year,Pagestart,Pageend,Pagecount,Source,ENTRYTYPE,doi,url,citation_count,Affiliations,Authors_affiliations,Address,Publisher,Language,AbbreviatedSource,Document_Type,Publication_Stage,Access_Type,EID,author_publ_age,author_age,doc_id,author_order
14,,,,Two controlled experiments assessing the usefulness of design pattern documentation in program maintenance,,,Prechelt L.; Unger-Lamprecht B.; Philippsen M.; Tichy W.F.,55902155300; 22986646200; 6701347889; 7004076943,,,2002,,,,IEEE Transactions on Software Engineering,,10.1109/TSE.2002.1010061,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036612913&doi=10.1109%2fTSE.2002.1010061&partnerID=40&md5=5693fbca56f1bb81014909668ffd32d3,124,606,,,,,,Article,Scopus,124,,,,,
15,,,,Issues in using students in empirical studies in software engineering education,,,Carver J.; Jaccheri L.; Morasca S.; Shull F.,12446411300; 6508386763; 7003834752; 6603060816,,,2003,,,,Proceedings - International Software Metrics Symposium,,10.1109/METRIC.2003.1232471,https://www.scopus.com/inward/record.uri?eid=2-s2.0-36048962634&doi=10.1109%2fMETRIC.2003.1232471&partnerID=40&md5=032471c6c8c619ad5bc3c711e7874fd4,236,249,,,,,,Conference paper,Scopus,236,,,,,
16,,,,How kids code and how we know: An exploratory study on the scratch repository,,,Aivaloglou E.; Hermans F.,6504773964; 35573133300,,,2016,,,,ICER 2016 - Proceedings of the 2016 ACM Conference on International Computing Education Research,,10.1145/2960310.2960325,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000613380&doi=10.1145%2f2960310.2960325&partnerID=40&md5=60ca29776041094ddf87056070d6f6c0,113,61,,,,,,Conference paper,Scopus,113,,,,,
17,,,,Pattern approach to interaction design,,,Borchers Jan O.,7005473180,,,2000,,,,"Proceedings of the Conference on Designing Interactive Systems: Processes, Practices, Methods, and Techniques, DIS",,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033650590&partnerID=40&md5=a4c20e16af479398d84cc690b593b6e9,108,378,,,,,,Article,Scopus,108,,,,,
18,,,,Verbal coding in olfactory versus nonolfactory cognition,,,Herz R.S.,7006170168,,,2000,,,,Memory and Cognition,,10.3758/BF03209343,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034492627&doi=10.3758%2fBF03209343&partnerID=40&md5=4172ef01b3cd06acae4a1c82142fe527,63,964,,,,,,Article,Scopus,63,,,,,
19,,,,Ability-training-oriented automated assessment in introductory programming course,,,Wang T.; Su X.; Ma P.; Wang Y.; Wang K.,55430891400; 7402181881; 7201420926; 24081890800; 9733243800,,,2011,,,,Computers and Education,,10.1016/j.compedu.2010.08.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957994723&doi=10.1016%2fj.compedu.2010.08.003&partnerID=40&md5=169ca06ac7bd43666d15b0acbf857872,107,226,,,,,,Article,Scopus,107,,,,,
20,,,,Assessment of online patient education materials from major ophthalmologic associations,,,Huang G.; Fang C.H.; Agarwal N.; Bhagat N.; Eloy J.A.; Langer P.D.,56465260400; 56651580400; 56380998400; 35582385300; 14019566600; 7102215750,,,2015,,,,JAMA Ophthalmology,,10.1001/jamaophthalmol.2014.6104,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928255153&doi=10.1001%2fjamaophthalmol.2014.6104&partnerID=40&md5=d0f23c5c4e3d06467e12ae1a98018894,80,454,,,,,,Article,Scopus,80,,,,,
21,,,,Self-Adaptive and online QoS modeling for cloud-based software services,,,Chen T.; Bahsoon R.,55687687800; 6508251119,,,2017,,,,IEEE Transactions on Software Engineering,,10.1109/TSE.2016.2608826,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021774962&doi=10.1109%2fTSE.2016.2608826&partnerID=40&md5=dc87b86b8381696bc49b0a53a1af488e,65,475,,,,,,Article,Scopus,65,,,,,
22,,,,Rethinking computer science education from a test-first perspective,,,Edwards S.H.,7401520439,,,2003,,,,"Proceedings of the Conference on Object-Oriented Programming Systems, Languages, and Applications, OOPSLA",,10.1145/949344.949390,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79951620284&doi=10.1145%2f949344.949390&partnerID=40&md5=c366e4e725cf4f7cd491154a9ffa8487,117,155,,,,,,Conference paper,Scopus,117,,,,,
23,,,,Somewhere over the rainbow: How to make effective use of colors in meteorological visualizations,,,Stauffer R.; Mayr G.J.; Dabernig M.; Zeileis A.,55441496900; 7006565753; 56648149300; 6508193927,,,2015,,,,Bulletin of the American Meteorological Society,,10.1175/BAMS-D-13-00155.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929457864&doi=10.1175%2fBAMS-D-13-00155.1&partnerID=40&md5=77fa9676b5b2b6073b6770c8f787dcda,63,216,,,,,,Article,Scopus,63,,,,,
24,,,,eEurope 2002: Quality criteria for health related websites,,,,,,,2002,,,,Journal of Medical Internet Research,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-3242775459&partnerID=40&md5=10a7e41c7c1c62d5f1f8a57f099c18de,82,91,,,,,,Review,Scopus,82,,,,,
25,,,,"Pair programming improves student retention, confidence, and program quality",,,McDowell C.; Werner L.; Bullock H.E.; Fernald J.,7006538820; 7103014347; 6602991886; 6602937334,,,2006,,,,Communications of the ACM,,10.1145/1145287.1145293,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33747196923&doi=10.1145%2f1145287.1145293&partnerID=40&md5=f49ddebe7b97438c1014a28ac81180b7,289,95,,,,,,Review,Scopus,289,,,,,
26,,,,Programming Multi-Agent Systems in AgentSpeak using Jason,,,Bordini R.H.; Hübner J.F.; Wooldridge M.,57203102955; 8703959000; 56800190200,,,2007,,,,Programming Multi-Agent Systems in AgentSpeak using Jason,,10.1002/9780470061848,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889473663&doi=10.1002%2f9780470061848&partnerID=40&md5=51578f7a29993448e5aeb191830b946e,1098,273,,,,,,Book,Scopus,1098,,,,,
27,,,,Software evolution and maintenance,,,Rajlich V.,7003764844,,,2014,,,,"Future of Software Engineering, FOSE 2014 - Proceedings",,10.1145/2593882.2593893,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942517824&doi=10.1145%2f2593882.2593893&partnerID=40&md5=762a9d65c10c175177715d667fbbd29a,67,144,,,,,,Conference paper,Scopus,67,,,,,
28,,,,Prototyping Versus Specifying: A Multiproject Experiment,,,Boehm B.W.; Gray T.E.; Seewaldt T.,7102111447; 7202787760; 6505903799,,,1984,,,,IEEE Transactions on Software Engineering,,10.1109/TSE.1984.5010238,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021421787&doi=10.1109%2fTSE.1984.5010238&partnerID=40&md5=0ed6994ca2c4dcc305359098b5b8f0aa,156,303,,,,,,Article,Scopus,156,,,,,
29,,,,Test-driven learning: Intrinsic integration of testing into the CS/SE curriculum,,,Janzen D.S.; Saiedian H.,27168158600; 7003876484,,,2007,,,,Proceedings of the Thirty-Seventh SIGCSE Technical Symposium on Computer Science Education,,10.1145/1121341.1121419,https://www.scopus.com/inward/record.uri?eid=2-s2.0-37849018803&doi=10.1145%2f1121341.1121419&partnerID=40&md5=4ad9a775eedbfb377e67700a900f79c3,59,258,,,,,,Conference paper,Scopus,59,,,,,
30,,,,Readability of patient education materials from the American Academy of Orthopaedic Surgeons and Pediatric Orthopaedic Society of North America web sites,,,Badarudeen S.; Sabharwal S.,23134480500; 7005266151,,,2008,,,,Journal of Bone and Joint Surgery,,10.2106/JBJS.G.00347,https://www.scopus.com/inward/record.uri?eid=2-s2.0-37849034653&doi=10.2106%2fJBJS.G.00347&partnerID=40&md5=d6c74bb772f1e9ede3737cdfa53e71cd,137,204,,,,,,Article,Scopus,137,,,,,
31,,,,Evaluating and tuning a static analysis to find null pointer bugs,,,Hovemeyer D.; Spacco J.; Pugh W.,23018803900; 56023820500; 7101609925,,,2005,,,,ACM SIGPLAN/SIGSOFT Workshop on Program Analysis for Software Tools and Engineering,,10.1145/1108792.1108798,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885200306&doi=10.1145%2f1108792.1108798&partnerID=40&md5=c99bf5820abc35a84d915a2d2a27acc8,86,19,,,,,,Conference paper,Scopus,86,,,,,
32,,,,Investigating quality factors in object-oriented designs: An industrial case study,,,Briand Lionel C.; Wuest Juergen; Ikonomovski Stefan V.; Lounis Hakim,7006613079; 7004547535; 6507303724; 57203238752,,,1999,,,,Proceedings - International Conference on Software Engineering,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032667374&partnerID=40&md5=d76dd1b4a79cda8625b8ac10503d176d,167,354,,,,,,Article,Scopus,167,,,,,
33,,,,Numerical methods in vehicle system dynamics: State of the art and current developments,,,Arnold M.; Burgermeister B.; Führer C.; Hippmann G.; Rill G.,55555071400; 24073977200; 7003840558; 12645800600; 6602434645,,,2011,,,,Vehicle System Dynamics,,10.1080/00423114.2011.582953,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856867049&doi=10.1080%2f00423114.2011.582953&partnerID=40&md5=4599bfd319f6cc9dabcef06fd7ba5a7a,74,1207,,,,,,Conference paper,Scopus,74,,,,,
34,,,,Are all code smells harmful? A study of God Classes and Brain Classes in the evolution of three open source systems,,,Olbrich S.M.; Cruzes D.S.; Sjoøberg D.I.K.,35230547800; 9844349100; 6603778674,,,2010,,,,"IEEE International Conference on Software Maintenance, ICSM",,10.1109/ICSM.2010.5609564,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650166517&doi=10.1109%2fICSM.2010.5609564&partnerID=40&md5=3905974059cb05b39d918d257ab5dec3,170,,,,,,,Conference paper,Scopus,170,,,,,
35,,,,Expyriment: A Python library for cognitive and neuroscientific experiments,,,Krause F.; Lindemann O.,55616869000; 8286447900,,,2014,,,,Behavior Research Methods,,10.3758/s13428-013-0390-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901334899&doi=10.3758%2fs13428-013-0390-6&partnerID=40&md5=45e6a059065ad403ff8dbf9642ecebc3,71,428,,,,,,Article,Scopus,71,,,,,
36,,,,Fuzzy cognitive map modelling educational software adoption,,,Hossain S.; Brooks L.,55636757300; 14019098600,,,2008,,,,Computers and Education,,10.1016/j.compedu.2008.03.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-49449094461&doi=10.1016%2fj.compedu.2008.03.002&partnerID=40&md5=0e2a8f9b55cbdda0551248d1c1e3e0db,66,1588,,,,,,Article,Scopus,66,,,,,
37,,,,Revealing the programming process,,,Bennedsen J.; Caspersen M.E.,7003832428; 6602975875,,,2005,,,,"Proceedings of the Thirty-Sixth SIGCSE Technical Symposium on Computer Science Education, SIGCSE 2005",,10.1145/1047344.1047413,https://www.scopus.com/inward/record.uri?eid=2-s2.0-20444506097&doi=10.1145%2f1047344.1047413&partnerID=40&md5=f1d40944e9de69bd46c0ed0242fac610,60,190,,,,,,Conference paper,Scopus,60,,,,,
38,,,,Software fault prediction: A literature review and current trends,,,Catal C.,22633325800,,,2011,,,,Expert Systems with Applications,,10.1016/j.eswa.2010.10.024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650690454&doi=10.1016%2fj.eswa.2010.10.024&partnerID=40&md5=dffd1fb6bdd038c75806896d11a748a7,284,4636,,,,,,Review,Scopus,284,,,,,
39,,,,The role of quality tools in assessing reliability of the Internet for health information,,,Hanif F.; Read J.C.; Goodacre J.A.; Chaudhry A.; Gibbs P.,6603099742; 15760807600; 35846976200; 12766011000; 7103114776,,,2009,,,,Informatics for Health and Social Care,,10.3109/17538150903359030,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70450164147&doi=10.3109%2f17538150903359030&partnerID=40&md5=a0ecabd148451a73d5b2825521380b34,61,243,,,,,,Review,Scopus,61,,,,,
40,,,,Assessing readability of patient education materials: Current role in orthopaedics,,,Badarudeen S.; Sabharwal S.,23134480500; 7005266151,,,2010,,,,Clinical Orthopaedics and Related Research,,10.1007/s11999-010-1380-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957336661&doi=10.1007%2fs11999-010-1380-y&partnerID=40&md5=fa3c9de0cd8cd435e44b2d84705a7406,324,2580,,,,,,Conference paper,Scopus,324,,,,,
41,,,,Does test-driven development really improve software design quality?,,,Janzen D.S.; Saiedian H.,27168158600; 7003876484,,,2008,,,,IEEE Software,,10.1109/MS.2008.34,https://www.scopus.com/inward/record.uri?eid=2-s2.0-40949159801&doi=10.1109%2fMS.2008.34&partnerID=40&md5=e4f44d30c811dcb1073381935702166f,75,84,,,,,,Article,Scopus,75,,,,,
42,,,,Apron: A library of numerical abstract domains for static analysis,,,Jeannet B.; Miné A.,8726133700; 55887577000,,,2009,,,,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),,10.1007/978-3-642-02658-4_52,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70350592315&doi=10.1007%2f978-3-642-02658-4_52&partnerID=40&md5=56a0176dec7a24df1126e82d87e6d573,296,667,,,,,,Conference paper,Scopus,296,,,,,
43,,,,Assessing eLearning systems success In Nigeria: An application of the Delone And Mclean information systems success model,,,Yakubu M.N.; Dasuki S.I.,57201460366; 55504124200,,,2018,,,,Journal of Information Technology Education: Research,,10.28945/4077,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050961266&doi=10.28945%2f4077&partnerID=40&md5=26db186516bc84d8f255cc5540b51cac,105,203,,,,,,Article,Scopus,105,,,,,
44,,,,Towards a quality model of technical aspects for mobile learning services: An empirical investigation,,,Sarrab M.; Elbasir M.; Alnaeli S.,55699281300; 56866437600; 55556442900,,,2016,,,,Computers in Human Behavior,,10.1016/j.chb.2015.09.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942155821&doi=10.1016%2fj.chb.2015.09.003&partnerID=40&md5=545379a4bb142615d84c7aa0f9657162,116,112,,,,,,Article,Scopus,116,,,,,
45,,,,Physically Based Rendering: From Theory to Implementation,,,Pharr M.; Humphreys G.,6602567552; 7102684048,,,2004,,,,Physically Based Rendering: From Theory to Implementation,,10.1016/B978-0-12-553180-1.X5000-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903675710&doi=10.1016%2fB978-0-12-553180-1.X5000-5&partnerID=40&md5=4f15afefc965d556649c155fc649f124,448,1021,,,,,,Book,Scopus,448,,,,,
46,,,,Program Readability: Procedures Versus Comments,,,Tenny T.,6507583201,,,1988,,,,IEEE Transactions on Software Engineering,,10.1109/32.6171,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024072981&doi=10.1109%2f32.6171&partnerID=40&md5=a50b6beb148d2d06b90fb188a41e121c,103,1279,,,,,,Article,Scopus,103,,,,,
47,,,,Gear reducer optimal design based on computer multimedia simulation,,,Sun Y.; Hu J.; Li G.; Jiang G.; Xiong H.; Tao B.; Zheng Z.; Jiang D.,57191647189; 57199837914; 13408307700; 55600320900; 14120395300; 54785420900; 56001077700; 57194035495,,,2020,,,,Journal of Supercomputing,,10.1007/s11227-018-2255-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055040751&doi=10.1007%2fs11227-018-2255-3&partnerID=40&md5=53a7f63e84d675fe29d128e15dc38bf9,66,4148,,,,,,Article,Scopus,66,,,,,
48,,,,The recurring rainfall problem,,,Fisler K.,8576867000,,,2014,,,,ICER 2014 - Proceedings of the 10th Annual International Conference on International Computing Education Research,,10.1145/2632320.2632346,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905842537&doi=10.1145%2f2632320.2632346&partnerID=40&md5=d81ae84c3f9ea7833fe376b510940465,61,42,,,,,,Conference paper,Scopus,61,,,,,
49,,,,Psychophysics: A Practical Introduction,,,Kingdom F.A.A.; Prins N.,7006381708; 7004063058,,,2016,,,,Psychophysics: A Practical Introduction,,10.1016/B978-0-12-407156-8.01001-X,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131474382&doi=10.1016%2fB978-0-12-407156-8.01001-X&partnerID=40&md5=06af698d4ecef08291cbcead52a4f889,180,331,,,,,,Book,Scopus,180,,,,,
50,,,,An Introduction to the Clinical Toxicology of Volatile Substances,,,Flanagan R.J.; Ruprah M.; Meredith T.J.; Raey J.D.,7101647898; 56467372200; 7005741299; 57019899400,,,1990,,,,Drug Safety,,10.2165/00002018-199005050-00005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025151004&doi=10.2165%2f00002018-199005050-00005&partnerID=40&md5=73532a6c2fd6bcbcc48f97915ce97308,109,383,,,,,,Article,Scopus,109,,,,,
51,,,,"Quality assessment, verification, and validation of modeling and simulation applications",,,Balci O.,57206173567,,,2004,,,,Proceedings - Winter Simulation Conference,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-17744373716&partnerID=40&md5=8e9d078f37a0655f25f5ffb5ec99d83e,83,129,,,,,,Conference paper,Scopus,83,,,,,
52,,,,The use and usefulness of the ISO/IEC 9126 quality standard,,,Al-Kilidar H.; Cox K.; Kitchenham B.,6504547383; 7202526021; 7005427567,,,2005,,,,"2005 International Symposium on Empirical Software Engineering, ISESE 2005",,10.1109/ISESE.2005.1541821,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33749069261&doi=10.1109%2fISESE.2005.1541821&partnerID=40&md5=e5024ef4707cce5679e6976d4e2383b3,81,132,,,,,,Conference paper,Scopus,81,,,,,
53,,,,The calculus of computation: Decision procedures with applications to verification,,,Bradley A.R.; Manna Z.,8975005400; 7004417010,,,2007,,,,The Calculus of Computation: Decision Procedures with Applications to Verification,,10.1007/978-3-540-74113-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891441796&doi=10.1007%2f978-3-540-74113-8&partnerID=40&md5=859b33490aadd9435fd8d17ee4060e24,187,366,,,,,,Book,Scopus,187,,,,,
54,,,,"Software modeling and design: UML, use cases, patterns, and software architectures",,,Gomaa H.,7005130600,,,2011,,,,"Software Modeling and Design: UML, Use Cases, Patterns, and Software Architectures",,10.1017/CBO9780511779183,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928700603&doi=10.1017%2fCBO9780511779183&partnerID=40&md5=371ffeba0194672e5761cc4f18b8422e,122,550,,,,,,Book,Scopus,122,,,,,
55,,,,Readability of spine-related patient education materials from subspecialty organization and spine practitioner websites,,,Vives M.; Young L.; Sabharwal S.,7006166445; 35742455400; 7005266151,,,2009,,,,Spine,,10.1097/BRS.0b013e3181b4bb0c,https://www.scopus.com/inward/record.uri?eid=2-s2.0-74249106449&doi=10.1097%2fBRS.0b013e3181b4bb0c&partnerID=40&md5=e4ee177d79974b074fb272e45e5e8150,81,2831,,,,,,Article,Scopus,81,,,,,
56,,,,Crisis and foundations: An inquiry into the nature and limits of models and methods in the information systems discipline,,,Ciborra C.U.,6603682214,,,1998,,,,Journal of Strategic Information Systems,,10.1016/S0963-8687(98)00020-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0038561626&doi=10.1016%2fS0963-8687%2898%2900020-1&partnerID=40&md5=a23118c69c89acd2bfd4ab75cd79a2d8,75,16,,,,,,Note,Scopus,75,,,,,
57,,,,Code quality issues in student programs,,,Keuning H.; Heeren B.; Jeuring J.,56644624100; 6508078965; 6602137556,,,2017,,,,"Annual Conference on Innovation and Technology in Computer Science Education, ITiCSE",,10.1145/3059009.3059061,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029483125&doi=10.1145%2f3059009.3059061&partnerID=40&md5=b6dbc7838dd2ebed757dc2f2608a8f6d,58,115,,,,,,Conference paper,Scopus,58,,,,,
58,,,,"How do personality, team processes and task characteristics relate to job satisfaction and software quality?",,,Acuña S.T.; Gómez M.; Juristo N.,6602208682; 55682208100; 6701344777,,,2009,,,,Information and Software Technology,,10.1016/j.infsof.2008.08.006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-57849153893&doi=10.1016%2fj.infsof.2008.08.006&partnerID=40&md5=730ebdf6e692326c22223c2046087614,156,639,,,,,,Article,Scopus,156,,,,,
59,,,,Most American Academy of Orthopaedic Surgeons Online Patient Education Material Exceeds Average Patient Reading Level,,,Eltorai A.E.M.; Sharma P.; Wang J.; Daniels A.H.,36458227200; 56443181500; 56443745900; 15839114300,,,2015,,,,Clinical Orthopaedics and Related Research,,10.1007/s11999-014-4071-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925492978&doi=10.1007%2fs11999-014-4071-2&partnerID=40&md5=5683c96ac5833c98fbe805bffbb5ed68,78,1186,,,,,,Article,Scopus,78,,,,,
60,,,,"Investigating the effect of dataset size, metrics sets, and feature selection techniques on software fault prediction problem",,,Catal C.; Diri B.,22633325800; 22978771800,,,2009,,,,Information Sciences,,10.1016/j.ins.2008.12.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-59149091560&doi=10.1016%2fj.ins.2008.12.001&partnerID=40&md5=f70bba2e18c98b24303556da7fae5ef4,263,1058,,,,,,Article,Scopus,263,,,,,
61,,,,"All work and no play: Measuring fun, usability, and learning in software for children",,,Sim G.; MacFarlane S.; Read J.,11839440300; 36053061300; 15760807600,,,2006,,,,Computers and Education,,10.1016/j.compedu.2005.11.021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-31144434568&doi=10.1016%2fj.compedu.2005.11.021&partnerID=40&md5=0fe075a659a75063a6dbac0047d58de7,102,248,,,,,,Article,Scopus,102,,,,,
62,,,,How reliable is computerized assessment of readability?,,,Mailloux S.L.; Johnson M.E.; Fisher D.G.; Pettibone T.J.,6505969708; 57203731771; 7403343298; 9841348800,,,1995,,,,Computers in nursing,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029371988&partnerID=40&md5=1065e64cbee5e296e3cf022723a1eafc,67,225,,,,,,Article,Scopus,67,,,,,
