Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Document Type,Publication Stage,Source
Linåker J.; Papatheocharous E.; Olsson T.,56426528100; 24491068000; 52365610500,How to characterize the health of an Open Source Software project? A snowball literature review of an emerging practice,2022,ACM International Conference Proceeding Series,,,11,,,,1,10.1145/3555051.3555067,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139099545&doi=10.1145%2f3555051.3555067&partnerID=40&md5=340d3181a63dbda5a96e275233ff6229,"Motivation: Society's dependence on Open Source Software (OSS) and the communities that maintain the OSS is ever-growing. So are the potential risks of, e.g., vulnerabilities being introduced in projects not actively maintained. By assessing an OSS project's capability to stay viable and maintained over time without interruption or weakening, i.e., the OSS health, users can consider the risk implied by using the OSS as is, and if necessary, decide whether to help improve the health or choose another option. However, such assessment is complex as OSS health covers a wide range of sub-topics, and existing support is limited. Aim: We aim to create an overview of characteristics that affect the health of an OSS project and enable the assessment thereof. Method: We conduct a snowball literature review based on a start set of 9 papers, and identify 146 relevant papers over two iterations of forward and backward snowballing. Health characteristics are elicited and coded using structured and axial coding into a framework structure. Results: The final framework consists of 107 health characteristics divided among 15 themes. Characteristics address the socio-technical spectrum of the community of actors maintaining the OSS project, the software and other deliverables being maintained, and the orchestration facilitating the maintenance. Characteristics are further divided based on the level of abstraction they address, i.e., the OSS project-level specifically, or the project's overarching ecosystem of related OSS projects. Conclusion: The framework provides an overview of the wide span of health characteristics that may need to be considered when evaluating OSS health and can serve as a foundation both for research and practice.  © 2022 Owner/Author.",Conference paper,Final,Scopus
Islam M.A.; Hasan Majumder M.Z.; Hussein M.A.; Hossain K.M.; Miah M.S.,57713835100; 58881053400; 58278389000; 57614786000; 58881477000,A review of machine learning and deep learning algorithms for Parkinson's disease detection using handwriting and voice datasets,2024,Heliyon,10,3,e25469,,,,,10.1016/j.heliyon.2024.e25469,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184749566&doi=10.1016%2fj.heliyon.2024.e25469&partnerID=40&md5=6e61cbcce26babbae497c30923da01ab,"Parkinson's Disease (PD) is a prevalent neurodegenerative disorder with significant clinical implications. Early and accurate diagnosis of PD is crucial for timely intervention and personalized treatment. In recent years, Machine Learning (ML) and Deep Learning (DL) techniques have emerged as promis-ing tools for improving PD diagnosis. This review paper presents a detailed analysis of the current state of ML and DL-based PD diagnosis, focusing on voice, handwriting, and wave spiral datasets. The study also evaluates the effectiveness of various ML and DL algorithms, including classifiers, on these datasets and highlights their potential in enhancing diagnostic accuracy and aiding clinical decision-making. Additionally, the paper explores the identifi-cation of biomarkers using these techniques, offering insights into improving the diagnostic process. The discussion encompasses different data formats and commonly employed ML and DL methods in PD diagnosis, providing a comprehensive overview of the field. This review serves as a roadmap for future research, guiding the development of ML and DL-based tools for PD detection. It is expected to benefit both the scientific community and medical practitioners by advancing our understanding of PD diagnosis and ultimately improving patient outcomes. © 2024 The Authors",Article,Final,Scopus
Johnson K.J.; Rose-Pehrsson S.L.,7405969437; 6701341226,Sensor Array Design for Complex Sensing Tasks?,2015,Annual Review of Analytical Chemistry,8,,,287,310,23,36,10.1146/annurev-anchem-062011-143205,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937391260&doi=10.1146%2fannurev-anchem-062011-143205&partnerID=40&md5=161507b2d499efa839841a8cf531d945,"Chemical detection in complex environments presents numerous challenges for successful implementation. Arrays of sensors are often implemented for complex chemical sensing tasks, but systematic understanding of how individual sensor response characteristics contribute overall detection system performance remains elusive, with generalized strategies for design and optimization of these arrays rarely reported and even less commonly adopted by practitioners. This review focuses on the literature of nonspecific sensor array design and optimization strategies as well as related work that may inform future efforts in complex sensing with arrays.",Review,Final,Scopus
Lakshmanan H.G.; Miller E.; White-Canale A.; McCluskey L.P.,57217847255; 57899057300; 57898963000; 7003527671,Immune responses in the injured olfactory and gustatory systems: a role in olfactory receptor neuron and taste bud regeneration?,2022,Chemical Senses,47,,bjac024,,,,3,10.1093/chemse/bjac024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138459703&doi=10.1093%2fchemse%2fbjac024&partnerID=40&md5=42690e5ce85a6d1a5b6aaa2988d440be,"Sensory cells that specialize in transducing olfactory and gustatory stimuli are renewed throughout life and can regenerate after injury unlike their counterparts in the mammalian retina and auditory epithelium. This uncommon capacity for regeneration offers an opportunity to understand mechanisms that promote the recovery of sensory function after taste and smell loss. Immune responses appear to influence degeneration and later regeneration of olfactory sensory neurons and taste receptor cells. Here we review surgical, chemical, and inflammatory injury models and evidence that immune responses promote or deter chemosensory cell regeneration. Macrophage and neutrophil responses to chemosensory receptor injury have been the most widely studied without consensus on their net effects on regeneration. We discuss possible technical and biological reasons for the discrepancy, such as the difference between peripheral and central structures, and suggest directions for progress in understanding immune regulation of chemosensory regeneration. Our mechanistic understanding of immune-chemosensory cell interactions must be expanded before therapies can be developed for recovering the sensation of taste and smell after head injury from traumatic nerve damage and infection. Chemosensory loss leads to decreased quality of life, depression, nutritional challenges, and exposure to environmental dangers highlighting the need for further studies in this area.  © 2022 The Author(s). Published by Oxford University Press. All rights reserved.",Review,Final,Scopus
Patnaik A.; Padhy N.,57218609678; 56417506600,Does Code Complexity Affect the Quality of Real-Time Projects?: Detection of Code Smell on Software Projects using Machine Learning Algorithms,2021,ACM International Conference Proceeding Series,,,,178,185,7,2,10.1145/3484824.3484911,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123801403&doi=10.1145%2f3484824.3484911&partnerID=40&md5=615b6e379780a347165a066c370f787b,"Code smell targets to identify bugs that occur due to incorrect analysis of code during software development life cycle. It is the task of analyzing a code design problem. The primary causes of code smell are complexity in structural design, violation of programming paradigm, and lack of unit-level testing by the software programmer. Our research focuses on the identification of code smell using different machine learning classifiers. We have considered 15 software code metrics of the Junit open source project and developed a hybrid model for code smell detection. Our dataset consists of 45 features which is further reduced by 15 using various feature selection techniques. Random sampling is used to handle the imbalance in the dataset. The project's performance is evaluated using 10 machine learning techniques which including regression, ensemble methods, and classification. Based on the statistical analysis, it is analyzed that the Random forest ensemble classifiers give best result with an accuracy of 99.12 % is the most appropriate technique for detecting different types of bad smells like god class, duplicate code, long method, large class, and refused bequest. © 2021 ACM.",Conference paper,Final,Scopus
Ferrari M.; Mattavelli D.; Tomasoni M.; Raffetti E.; Bossi P.; Schreiber A.; Orlandi E.; Taboni S.; Rampinelli V.; Gualtieri T.; Turri-Zanoni M.; Battaglia P.; Arosio A.D.; Bignami M.; Tartaro T.; Molteni M.; Bertazzoni G.; Fiaux-Camous D.; Jourdaine C.; Verillaud B.; Eu D.; Nair D.; Moiyadi A.; Shetty P.; Ghosh-Laskar S.; Budrukkar A.; Magrini S.M.; Guillerm S.; Faivre S.; Piazza C.; Gilbert R.W.; Irish J.C.; de Almeida J.R.; Pai P.; Herman P.; Castelnuovo P.; Nicolai P.,57226266136; 55382540800; 57203915904; 56146363000; 23092932500; 36469296100; 58017679500; 57195956956; 57188742101; 57189218469; 53985286700; 12244664600; 57201381663; 12244525200; 57194861037; 7003975453; 55523551600; 57201073719; 57195566461; 36553534800; 55418790700; 25621884700; 55993470000; 35226670900; 55399012400; 7801312290; 24076371000; 16312732800; 34569482800; 55589573800; 7401932131; 7101847422; 14047994500; 7101901732; 7201563487; 55637348200; 7005378462,The MUSES?: a prognostic study on 1360 patients with sinonasal cancer undergoing endoscopic surgery-based treatment: ?MUlti-institutional collaborative Study on Endoscopically treated Sinonasal cancers,2022,European Journal of Cancer,171,,,161,182,21,15,10.1016/j.ejca.2022.05.010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132427317&doi=10.1016%2fj.ejca.2022.05.010&partnerID=40&md5=28a88e39c9ceda7233f360c55ad98e2a,"Background: Over the last 2 decades, transnasal endoscopic surgery (TES) has become the most frequently employed surgical technique to treat sinonasal malignancies. The rarity and heterogeneity of sinonasal cancers have hampered large non-population-based analyses. Methodology: All patients receiving TES-including treatment between 1995 and 2021 in 5 referral hospitals were included. A prognostic study was performed, and multivariable models were transformed into nomograms. Training and validation sets were based on results from 3 European and 2 non-European centres, respectively. Results: The training and validation set included 940 and 420 patients, respectively. The mean age at surgery, primary-versus-recurrent presentation, histology distribution, type of surgery, T category and type of adjuvant treatment were differently distributed in the training and validation set. In the training set, 5-year overall survival and recurrence-free survival with a 95%-confidence interval were 72.7% (69.5–76.0%) and 66.4% (63.1–69.8%), respectively, significantly varying with histology. At multivariable analyses, age, gender, previous treatment, the extent of resection on the cranial, lateral and posterolateral axes, grade/subtype, T category, nodal status, margin status and adjuvant treatment were all associated with different prognostic outcomes, displaying a heterogeneous significance and effect size according to histology. The internal and external validation of nomograms was satisfactory (optimism-corrected C-index >0.7 and cumulative area under curve >0.7) for all histologies but mucosal melanoma. Conclusions: Outcomes of TES-based treatment of sinonasal cancers vary substantially with histology. This large, non-population-based study provides benchmark data on the prognosis of sinonasal cancers that are deemed suitable for treatment including TES. © 2022 The Authors",Article,Final,Scopus
Gradišnik M.; Karakati? S.; Berani? T.; Heri?ko M.; Mauša G.; Grbac T.G.,55531148400; 55772495000; 57203508230; 6603385018; 55338667600; 57202354149,The impact of refactoring on maintability of Java code: A preliminary review,2019,CEUR Workshop Proceedings,2508,,2,,,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076458785&partnerID=40&md5=c9394985c9a562bbc1ccd438dfa6ccce,"The preservation of a proper level of software systems quality is one in the cornerstones of making software evolution easier and sustainable in the long run. A good design allows complex systems to evolve with little effort and in an economically efficient way. When design deviations are detected, refactoring techniques are applied to eliminate or at least reduce the identified flaws. A number of studies show that not all refactoring techniques contribute to improving the quality of different software systems equally. Therefore, effective approaches to measuring the impact of refactoring on software quality are required. In this study, we examine approaches to estimate the effect of applied refactoring techniques on the maintainability of Java based software systems. Since refactoring primarily affects the system's internal structure, maintainability was put in the focus of the study. We conducted a brief literature review, limiting our study on quantitative metrics. The results show that researchers use different approaches for evaluating the impact of refactoring on the observed Java based software systems. In some studies, researchers measured the effect of refactoring on the internal structure attributes measured by software metrics, e.g. C&K metric suite but the scope of our research was limited to the effects of refactoring on maintainability. In other studies, the effects of refactoring are estimated through external quality attributes, e.g. maintainability, readability, and understandability. Additionally, some researchers observed the impact of refactoring indirectly, e.g. through the defect proneness of classes of observed systems. Copyright © 2019 for this paper by its authors. Use permitted under Creative Commons License Attribution 4.0 International (CC BY 4.0).",Conference paper,Final,Scopus
Lewowski T.; Madeyski L.,57207640692; 14045220900,How far are we from reproducible research on code smell detection? A systematic literature review,2022,Information and Software Technology,144,,106783,,,,16,10.1016/j.infsof.2021.106783,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121219205&doi=10.1016%2fj.infsof.2021.106783&partnerID=40&md5=c424da6e060e9afbc9a9944ba5947299,"Context: Code smells are symptoms of wrong design decisions or coding shortcuts that may increase defect rate and decrease maintainability. Research on code smells is accelerating, focusing on code smell detection and using code smells as defect predictors. Recent research shows that even between software developers, agreement on what constitutes a code smell is low, but several publications claim the high performance of detection algorithms—which seems counterintuitive, considering that algorithms should be taught on data labeled by developers. Objective: This paper aims to investigate the possible reasons for the inconsistencies between studies in the performance of applied machine learning algorithms compared to developers. It focuses on the reproducibility of existing studies. Methods: A systematic literature review was performed among conference and journal articles published between 1999 and 2020 to assess the state of reproducibility of the research performed in those papers. A quasi-gold standard procedure was used to validate the search. Modeling process descriptions, reproduction scripts, data sets, and techniques used for their creation were analyzed. Results: We obtained data from 46 publications. 22 of them contained a detailed description of the modeling process, 17 included any reproduction data (data set, results, or scripts) and 15 used existing data sets. In most of the publications, analyzed projects were hand-picked by the researchers. Conclusion: Most studies do not include any form of an online reproduction package, although this has started to change recently—8% of analyzed studies published before 2018 included a full reproduction package, compared to 22% in years 2018–2019. Ones that do include a package usually use a research group website or even a personal one. Dedicated archives are still rarely used for data packages. We recommend that researchers include complete reproduction packages for their studies and use well-established research data archives instead of their own websites. © 2021 The Authors",Review,Final,Scopus
Sharma T.; Kechagia M.; Georgiou S.; Tiwari R.; Vats I.; Moazen H.; Sarro F.,25224153100; 36634273100; 56988937100; 56583482300; 57928881700; 54951876300; 36631133800,A survey on machine learning techniques applied to source code,2024,Journal of Systems and Software,209,,111934,,,,0,10.1016/j.jss.2023.111934,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181046174&doi=10.1016%2fj.jss.2023.111934&partnerID=40&md5=878c3604b3353452697955130c6a6a77,"The advancements in machine learning techniques have encouraged researchers to apply these techniques to a myriad of software engineering tasks that use source code analysis, such as testing and vulnerability detection. Such a large number of studies hinders the community from understanding the current research landscape. This paper aims to summarize the current knowledge in applied machine learning for source code analysis. We review studies belonging to twelve categories of software engineering tasks and corresponding machine learning techniques, tools, and datasets that have been applied to solve them. To do so, we conducted an extensive literature search and identified 494 studies. We summarize our observations and findings with the help of the identified studies. Our findings suggest that the use of machine learning techniques for source code analysis tasks is consistently increasing. We synthesize commonly used steps and the overall workflow for each task and summarize machine learning techniques employed. We identify a comprehensive list of available datasets and tools useable in this context. Finally, the paper discusses perceived challenges in this area, including the availability of standard datasets, reproducibility and replicability, and hardware resources. Editor's note: Open Science material was validated by the Journal of Systems and Software Open Science Board. © 2023 The Authors",Article,Final,Scopus
Vagnozzi S.,56491137600,Seven Hints That Early-Time New Physics Alone Is Not Sufficient to Solve the Hubble Tension,2023,Universe,9,9,393,,,,14,10.3390/universe9090393,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172195424&doi=10.3390%2funiverse9090393&partnerID=40&md5=75be71e735a76328c9a59b9ee56ff084,"The Hubble tension has now grown to a level of significance which can no longer be ignored and calls for a solution which, despite a huge number of attempts, has so far eluded us. Significant efforts in the literature have focused on early-time modifications of (Formula presented.) CDM, introducing new physics operating prior to recombination and reducing the sound horizon. In this opinion paper I argue that early-time new physics alone will always fall short of fully solving the Hubble tension. I base my arguments on seven independent hints, related to (1) the ages of the oldest astrophysical objects, (2) considerations on the sound horizon-Hubble constant degeneracy directions in cosmological data, (3) the important role of cosmic chronometers, (4) a number of “descending trends” observed in a wide variety of low-redshift datasets, (5) the early integrated Sachs-Wolfe effect as an early-time consistency test of (Formula presented.) CDM, (6) early-Universe physics insensitive and uncalibrated cosmic standard constraints on the matter density, and finally (7) equality wavenumber-based constraints on the Hubble constant from galaxy power spectrum measurements. I argue that a promising way forward should ultimately involve a combination of early- and late-time (but non-local—in a cosmological sense, i.e., at high redshift) new physics, as well as local (i.e., at (Formula presented.)) new physics, and I conclude by providing reflections with regards to potentially interesting models which may also help with the (Formula presented.) tension. © 2023 by the author.",Article,Final,Scopus
